,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser
376,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:21:00,141,5902,Michigan State,Notre Dame,Big Ten Conference Game,3,2,Home Team,Away Team
377,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:14:00,134,557,Brown,St. Lawrence,ECAC Hockey Conference Game,3,2,Home Team,Away Team
378,November 23 2019,Saturday,1900-01-01 19:30:00,1900-01-01 21:55:00,145,769,Colgate,Quinnipiac,ECAC Hockey Conference Game,3,1,Home Team,Away Team
379,November 23 2019,Saturday,1900-01-01 19:02:00,1900-01-01 21:21:00,139,4267,Cornell,Princeton,ECAC Hockey Conference Game,5,1,Home Team,Away Team
380,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:21:00,141,1799,Yale,Clarkson,ECAC Hockey Conference Game,1,4,Away Team,Home Team
381,November 23 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,2412,Merrimack,Massachusetts,Hockey East Conference Game,2,3,Away Team,Home Team
382,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:30:00,150,1929,Northeastern,Maine,Hockey East Conference Game,3,2,Home Team,Away Team
383,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:32:00,152,2183,Providence,UConn,Hockey East Conference Game,5,2,Home Team,Away Team
384,November 23 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:13:00,133,6038,New Hampshire,Michigan,Non-Conference Game,3,2,Home Team,Away Team
385,November 23 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,500,Niagara,Mercyhurst,Atlantic Hockey Conference Game,3,1,Home Team,Away Team
386,November 23 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:41:00,156,824,Robert Morris,Air Force,Atlantic Hockey Conference Game,1,1,Tie,Tie
387,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:55:00,168,2746,Bowling Green,Lake Superior State,WCHA Conference Game,1,3,Away Team,Home Team
388,November 23 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:17:00,130,3112,Bemidji State,Alabama Huntsville,WCHA Conference Game,7,0,Home Team,Away Team
389,November 23 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:28:00,141,4522,Minnesota State,Alaska Anchorage,WCHA Conference Game,3,0,Home Team,Away Team
390,November 23 2019,Saturday,1900-01-01 19:35:00,1900-01-01 21:53:00,138,1107,Canisius,Rensselaer,Non-Conference Game,2,3,Away Team,Home Team
391,November 23 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:45:00,160,8612,Minnesota,Wisconsin,Big Ten Conference Game,3,3,Tie,Tie
392,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,5781,Minnesota Duluth,Colorado College,National Collegiate Hockey Conference Conference Game,5,0,Home Team,Away Team
393,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:35:00,148,11747,North Dakota,St. Cloud State,National Collegiate Hockey Conference Conference Game,2,1,Home Team,Away Team
394,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:28:00,141,5619,Omaha,Miami,National Collegiate Hockey Conference Conference Game,1,4,Away Team,Home Team
395,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:25:00,138,4942,Denver,Western Michigan,National Collegiate Hockey Conference Conference Game,6,1,Home Team,Away Team
396,November 23 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,1475,Alaska,Ferris State,WCHA Conference Game,3,1,Home Team,Away Team
397,November 26 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:10:00,125,3669,Boston College,Yale,Non-Conference Game,6,2,Home Team,Away Team
398,November 26 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:09:00,124,1826,Boston University,Sacred Heart,Non-Conference Game,0,4,Away Team,Home Team
399,November 26 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,567,American International,Army West Point,Atlantic Hockey Conference Game,1,4,Away Team,Home Team
400,November 26 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:05:00,120,1144,Bentley,Brown,Non-Conference Game,1,0,Home Team,Away Team
401,November 28 2019,Thursday,1900-01-01 19:05:00,1900-01-01 21:10:00,125,8567,Minnesota,North Dakota,Non-Conference Game,3,9,Away Team,Home Team
402,November 29 2019,Friday,1900-01-01 15:00:00,1900-01-01 17:35:00,155,3200,Northeastern,New Hampshire,Hockey East Conference Game,4,0,Home Team,Away Team
403,November 29 2019,Friday,1900-01-01 13:05:00,1900-01-01 15:32:00,147,819,Canisius,Army West Point,Atlantic Hockey Conference Game,3,4,Away Team,Home Team
404,November 29 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:38:00,158,3823,Colgate,Princeton,Non-Conference Game,3,1,Home Team,Away Team
405,November 29 2019,Friday,1900-01-01 16:05:00,1900-01-01 18:23:00,138,3006,UConn,Miami,Non-Conference Game,6,4,Home Team,Away Team
406,November 29 2019,Friday,1900-01-01 16:05:00,1900-01-01 18:12:00,127,3512,UMass Lowell,Rensselaer,Non-Conference Game,4,0,Home Team,Away Team
407,November 29 2019,Friday,1900-01-01 16:30:00,1900-01-01 18:50:00,140,3095,Harvard,Boston College,Non-Conference Game,2,4,Away Team,Home Team
408,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,1961,Merrimack,Penn State,Non-Conference Game,0,7,Away Team,Home Team
409,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,5271,Notre Dame,Bowling Green,Non-Conference Game,2,5,Away Team,Home Team
410,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:16:00,131,692,American International,RIT,Atlantic Hockey Conference Game,4,2,Home Team,Away Team
411,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,637,Holy Cross,Bentley,Atlantic Hockey Conference Game,2,3,Away Team,Home Team
412,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:16:00,131,639,Niagara,Air Force,Atlantic Hockey Conference Game,4,3,Home Team,Away Team
413,November 29 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:18:00,131,1751,Lake Superior State,Bemidji State,WCHA Conference Game,1,4,Away Team,Home Team
414,November 29 2019,Friday,1900-01-01 19:35:00,1900-01-01 21:57:00,142,2992,Quinnipiac,Massachusetts,Non-Conference Game,0,3,Away Team,Home Team
415,November 29 2019,Friday,1900-01-01 19:30:00,1900-01-01 21:46:00,136,515,St. Lawrence,Maine,Non-Conference Game,2,5,Away Team,Home Team
416,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,9823,Minnesota,North Dakota,Non-Conference Game,2,3,Away Team,Home Team
417,November 29 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,1142,Alabama Huntsville,Northern Michigan,WCHA Conference Game,4,2,Home Team,Away Team
418,November 29 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,5494,Minnesota Duluth,Minnesota State,Non-Conference Game,1,4,Away Team,Home Team
419,November 29 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:27:00,142,845,Arizona State,Vermont,Non-Conference Game,2,1,Home Team,Away Team
420,November 29 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,712,Alaska Anchorage,Ferris State,WCHA Conference Game,1,4,Away Team,Home Team
421,November 29 2019,Friday,1900-01-01 19:13:00,1900-01-01 21:33:00,140,1255,Alaska,Michigan Tech,WCHA Conference Game,4,3,Home Team,Away Team
422,November 30 2019,Saturday,1900-01-01 15:00:00,1900-01-01 17:23:00,143,4163,Princeton,New Hampshire,Non-Conference Game,2,3,Away Team,Home Team
423,November 30 2019,Saturday,1900-01-01 13:05:00,1900-01-01 15:22:00,137,517,American International,RIT,Atlantic Hockey Conference Game,5,1,Home Team,Away Team
424,November 30 2019,Saturday,1900-01-01 13:05:00,1900-01-01 15:20:00,135,907,Canisius,Army West Point,Atlantic Hockey Conference Game,2,3,Away Team,Home Team
425,November 30 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:36:00,156,5846,Northeastern,Colgate,Non-Conference Game,4,3,Home Team,Away Team
426,November 30 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:16:00,136,2360,Providence,Brown,Non-Conference Game,4,2,Home Team,Away Team
427,November 30 2019,Saturday,1900-01-01 16:05:00,1900-01-01 18:30:00,145,1260,Bentley,Holy Cross,Atlantic Hockey Conference Game,4,1,Home Team,Away Team
428,November 30 2019,Saturday,1900-01-01 16:05:00,1900-01-01 18:16:00,131,2735,UConn,Miami,Non-Conference Game,4,3,Home Team,Away Team
429,November 30 2019,Saturday,1900-01-01 17:00:00,1900-01-01 19:10:00,130,4251,Ohio State,Michigan State,Big Ten Conference Game,3,1,Home Team,Away Team
430,November 30 2019,Saturday,1900-01-01 17:07:00,1900-01-01 19:30:00,143,1433,Lake Superior State,Bemidji State,WCHA Conference Game,2,2,Tie,Tie
431,November 30 2019,Saturday,1900-01-01 18:05:00,1900-01-01 20:30:00,145,3766,UMass Lowell,Penn State,Non-Conference Game,3,2,Home Team,Away Team
432,November 30 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,1301,Merrimack,Rensselaer,Non-Conference Game,5,1,Home Team,Away Team
433,November 30 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,363,St. Lawrence,Maine,Non-Conference Game,1,1,Tie,Tie
434,November 30 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:24:00,144,2857,Massachusetts,Quinnipiac,Non-Conference Game,1,2,Away Team,Home Team
435,November 30 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:40:00,155,200,Niagara,Air Force,Atlantic Hockey Conference Game,1,1,Tie,Tie
436,November 30 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:53:00,168,803,Robert Morris,Mercyhurst,Atlantic Hockey Conference Game,2,2,Tie,Tie
437,November 30 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,3382,Bowling Green,Notre Dame,Non-Conference Game,5,2,Home Team,Away Team
438,November 30 2019,Saturday,1900-01-01 19:02:00,1900-01-01 21:32:00,150,9894,Wisconsin,Michigan,Big Ten Conference Game,3,2,Home Team,Away Team
439,November 30 2019,Saturday,1900-01-01 20:15:00,1900-01-01 22:29:00,134,15142,Boston University,Cornell,Non-Conference Game,0,2,Away Team,Home Team
440,November 30 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:22:00,135,956,Alabama Huntsville,Northern Michigan,WCHA Conference Game,1,3,Away Team,Home Team
441,November 30 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:47:00,160,5103,Minnesota Duluth,Minnesota State,Non-Conference Game,1,3,Away Team,Home Team
442,November 30 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:45:00,160,800,Arizona State,Vermont,Non-Conference Game,2,2,Tie,Tie
443,November 30 2019,Saturday,1900-01-01 17:07:00,1900-01-01 19:47:00,160,742,Alaska Anchorage,Ferris State,WCHA Conference Game,4,4,Tie,Tie
444,November 30 2019,Saturday,1900-01-01 19:10:00,1900-01-01 21:22:00,132,1365,Alaska,Michigan Tech,WCHA Conference Game,1,2,Away Team,Home Team
445,December 1 2019,Sunday,1900-01-01 14:31:00,1900-01-01 16:56:00,145,4222,Ohio State,Michigan State,Big Ten Conference Game,2,0,Home Team,Away Team
446,December 1 2019,Sunday,1900-01-01 16:01:00,1900-01-01 18:29:00,148,9571,Wisconsin,Michigan,Big Ten Conference Game,1,3,Away Team,Home Team
447,December 3 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,2922,Boston University,Harvard,Non-Conference Game,5,2,Home Team,Away Team
448,December 3 2019,Tuesday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,414,American International,Sacred Heart,Atlantic Hockey Conference Game,2,4,Away Team,Home Team
449,December 6 2019,Friday,1900-01-01 13:05:00,1900-01-01 15:15:00,130,244,American International,Canisius,Atlantic Hockey Conference Game,6,0,Home Team,Away Team
450,December 6 2019,Friday,1900-01-01 16:02:00,1900-01-01 18:28:00,146,1001,Princeton,Colorado College,Non-Conference Game,2,7,Away Team,Home Team
451,December 6 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:12:00,132,6007,Michigan State,Wisconsin,Big Ten Conference Game,3,0,Home Team,Away Team
452,December 6 2019,Friday,1900-01-01 19:02:00,1900-01-01 21:21:00,139,1303,Dartmouth,Colgate,ECAC Hockey Conference Game,1,5,Away Team,Home Team
453,December 6 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,3095,Harvard,Cornell,ECAC Hockey Conference Game,1,3,Away Team,Home Team
454,December 6 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:20:00,140,1718,Rensselaer,Yale,ECAC Hockey Conference Game,1,4,Away Team,Home Team
455,December 6 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:10:00,130,1482,Union,Brown,ECAC Hockey Conference Game,5,0,Home Team,Away Team
456,December 6 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:34:00,154,4507,Massachusetts,Maine,Hockey East Conference Game,5,1,Home Team,Away Team
457,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:40:00,155,3324,Western Michigan,North Dakota,National Collegiate Hockey Conference Conference Game,0,1,Away Team,Home Team
458,December 6 2019,Friday,1900-01-01 19:01:00,1900-01-01 21:11:00,130,7295,Boston College,Notre Dame,Non-Conference Game,4,0,Home Team,Away Team
459,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:36:00,151,1419,Army West Point,Bentley,Atlantic Hockey Conference Game,4,3,Home Team,Away Team
460,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:25:00,140,2071,RIT,Mercyhurst,Atlantic Hockey Conference Game,7,3,Home Team,Away Team
461,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:27:00,142,2012,UConn,Vermont,Hockey East Conference Game,3,2,Home Team,Away Team
462,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:19:00,134,2016,Miami,St. Cloud State,National Collegiate Hockey Conference Conference Game,1,2,Away Team,Home Team
463,December 6 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,2657,Bowling Green,Alabama Huntsville,WCHA Conference Game,9,3,Home Team,Away Team
464,December 6 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,2689,Michigan Tech,Alaska Anchorage,WCHA Conference Game,2,1,Home Team,Away Team
465,December 6 2019,Friday,1900-01-01 19:15:00,1900-01-01 21:45:00,150,1997,Providence,UMass Lowell,Hockey East Conference Game,2,3,Away Team,Home Team
466,December 6 2019,Friday,1900-01-01 20:01:00,1900-01-01 22:26:00,145,5321,Ohio State,Minnesota,Big Ten Conference Game,3,2,Home Team,Away Team
467,December 6 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:34:00,147,5299,Omaha,Minnesota Duluth,National Collegiate Hockey Conference Conference Game,3,6,Away Team,Home Team
468,December 6 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:24:00,137,2547,Bemidji State,Alaska,WCHA Conference Game,3,1,Home Team,Away Team
469,December 6 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,4330,Minnesota State,Lake Superior State,WCHA Conference Game,5,1,Home Team,Away Team
470,December 6 2019,Friday,1900-01-01 20:37:00,1900-01-01 23:02:00,145,5246,Michigan,Penn State,Big Ten Conference Game,4,1,Home Team,Away Team
471,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:13:00,128,1902,Air Force,Holy Cross,Atlantic Hockey Conference Game,7,2,Home Team,Away Team
472,December 6 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:25:00,140,917,Arizona State,Denver,Non-Conference Game,4,1,Home Team,Away Team
473,December 7 2019,Saturday,1900-01-01 13:10:00,1900-01-01 15:30:00,140,376,American International,Canisius,Atlantic Hockey Conference Game,3,2,Home Team,Away Team
474,December 7 2019,Saturday,1900-01-01 15:35:00,1900-01-01 17:57:00,142,2884,UConn,Vermont,Hockey East Conference Game,7,4,Home Team,Away Team
475,December 7 2019,Saturday,1900-01-01 18:05:00,1900-01-01 20:30:00,145,4033,UMass Lowell,Providence,Hockey East Conference Game,1,4,Away Team,Home Team
476,December 7 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:17:00,130,2838,Michigan Tech,Alaska Anchorage,WCHA Conference Game,4,1,Home Team,Away Team
477,December 7 2019,Saturday,1900-01-01 16:35:00,1900-01-01 19:05:00,150,2800,Arizona State,Denver,Non-Conference Game,2,2,Tie,Tie
478,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:30:00,150,5608,Michigan State,Wisconsin,Big Ten Conference Game,5,4,Home Team,Away Team
479,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:18:00,138,3158,Clarkson,St. Lawrence,ECAC Hockey Conference Game,3,1,Home Team,Away Team
480,December 7 2019,Saturday,1900-01-01 19:02:00,1900-01-01 21:21:00,139,2267,Dartmouth,Cornell,ECAC Hockey Conference Game,2,1,Home Team,Away Team
481,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:20:00,140,1611,Harvard,Colgate,ECAC Hockey Conference Game,3,4,Away Team,Home Team
482,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,2101,Rensselaer,Brown,ECAC Hockey Conference Game,2,1,Home Team,Away Team
483,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,1614,Union,Yale,ECAC Hockey Conference Game,0,2,Away Team,Home Team
484,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,3681,Boston University,Northeastern,Hockey East Conference Game,6,3,Home Team,Away Team
485,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:16:00,131,1748,Merrimack,New Hampshire,Hockey East Conference Game,4,2,Home Team,Away Team
486,December 7 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:25:00,145,3545,Massachusetts,Maine,Hockey East Conference Game,4,1,Home Team,Away Team
487,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:35:00,150,3349,Western Michigan,North Dakota,National Collegiate Hockey Conference Conference Game,2,8,Away Team,Home Team
488,December 7 2019,Saturday,1900-01-01 19:02:00,1900-01-01 21:21:00,139,1685,Princeton,Colorado College,Non-Conference Game,1,2,Away Team,Home Team
489,December 7 2019,Saturday,1900-01-01 17:05:00,1900-01-01 19:49:00,164,1608,Air Force,Holy Cross,Atlantic Hockey Conference Game,3,3,Tie,Tie
490,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:14:00,129,1872,Army West Point,Bentley,Atlantic Hockey Conference Game,2,4,Away Team,Home Team
491,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,2227,RIT,Mercyhurst,Atlantic Hockey Conference Game,3,2,Home Team,Away Team
492,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,256,Sacred Heart,Robert Morris,Atlantic Hockey Conference Game,6,0,Home Team,Away Team
493,December 7 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,1863,Miami,St. Cloud State,National Collegiate Hockey Conference Conference Game,3,5,Away Team,Home Team
494,December 7 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:47:00,160,2279,Bowling Green,Alabama Huntsville,WCHA Conference Game,2,2,Tie,Tie
495,December 7 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:25:00,138,2516,Bemidji State,Alaska,WCHA Conference Game,3,5,Away Team,Home Team
496,December 7 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:16:00,129,4452,Minnesota State,Lake Superior State,WCHA Conference Game,2,0,Home Team,Away Team
497,December 7 2019,Saturday,1900-01-01 19:31:00,1900-01-01 21:51:00,140,5444,Michigan,Penn State,Big Ten Conference Game,1,3,Away Team,Home Team
498,December 7 2019,Saturday,1900-01-01 20:00:00,1900-01-01 22:27:00,147,3816,Ohio State,Minnesota,Big Ten Conference Game,1,1,Tie,Tie
499,December 7 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:47:00,160,5312,Omaha,Minnesota Duluth,National Collegiate Hockey Conference Conference Game,3,4,Away Team,Home Team
500,December 8 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:10:00,125,142,Sacred Heart,Robert Morris,Atlantic Hockey Conference Game,4,2,Home Team,Away Team
501,December 8 2019,Sunday,1900-01-01 17:05:00,1900-01-01 19:23:00,138,3985,Notre Dame,Boston College,Non-Conference Game,1,6,Away Team,Home Team
502,December 8 2019,Sunday,1900-01-01 19:05:00,1900-01-01 21:10:00,125,4074,New Hampshire,Merrimack,Hockey East Conference Game,5,2,Home Team,Away Team
503,December 10 2019,Tuesday,1900-01-01 19:00:00,1900-01-01 21:10:00,130,410,Brown,Massachusetts,Non-Conference Game,0,4,Away Team,Home Team
504,December 10 2019,Tuesday,1900-01-01 19:02:00,1900-01-01 21:22:00,140,888,Princeton,American International,Non-Conference Game,2,1,Home Team,Away Team
505,December 10 2019,Tuesday,1900-01-01 19:00:00,1900-01-01 21:25:00,145,1472,Yale,Maine,Non-Conference Game,3,1,Home Team,Away Team
506,December 12 2019,Thursday,1900-01-01 19:02:00,1900-01-01 21:42:00,160,1175,Dartmouth,Bentley,Non-Conference Game,2,2,Tie,Tie
507,December 13 2019,Friday,1900-01-01 13:05:00,1900-01-01 15:20:00,135,219,American International,Niagara,Atlantic Hockey Conference Game,3,1,Home Team,Away Team
508,December 13 2019,Friday,1900-01-01 19:05:00,1900-01-01 21:31:00,146,3806,Notre Dame,Penn State,Big Ten Conference Game,2,4,Away Team,Home Team
509,December 13 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:12:00,132,1505,Union,Merrimack,Non-Conference Game,3,2,Home Team,Away Team
510,December 13 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,920,Ferris State,Alabama Huntsville,WCHA Conference Game,2,2,Tie,Tie
511,December 13 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,1381,Lake Superior State,Bowling Green,WCHA Conference Game,0,2,Away Team,Home Team
512,December 13 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,2227,Northern Michigan,Minnesota State,WCHA Conference Game,2,5,Away Team,Home Team
513,December 13 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,2885,Michigan Tech,Clarkson,Non-Conference Game,2,2,Tie,Tie
514,December 13 2019,Friday,1900-01-01 19:37:00,1900-01-01 21:58:00,141,3703,St. Cloud State,Omaha,National Collegiate Hockey Conference Conference Game,4,1,Home Team,Away Team
515,December 13 2019,Friday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,5758,Denver,Colorado College,National Collegiate Hockey Conference Conference Game,3,0,Home Team,Away Team
516,December 14 2019,Saturday,1900-01-01 13:05:00,1900-01-01 15:18:00,133,467,American International,Niagara,Atlantic Hockey Conference Game,0,0,Tie,Tie
517,December 14 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:28:00,148,1764,Northeastern,Dartmouth,Non-Conference Game,6,4,Home Team,Away Team
518,December 14 2019,Saturday,1900-01-01 17:05:00,1900-01-01 19:15:00,130,429,Robert Morris,Army West Point,Atlantic Hockey Conference Game,0,4,Away Team,Home Team
519,December 14 2019,Saturday,1900-01-01 18:05:00,1900-01-01 20:22:00,137,4306,Notre Dame,Penn State,Big Ten Conference Game,3,0,Home Team,Away Team
520,December 14 2019,Saturday,1900-01-01 18:00:00,1900-01-01 20:20:00,140,2246,Northern Michigan,Minnesota State,WCHA Conference Game,4,1,Home Team,Away Team
521,December 14 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:42:00,155,3008,Michigan Tech,Clarkson,Non-Conference Game,2,4,Away Team,Home Team
522,December 14 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,5306,Michigan State,Arizona State,Non-Conference Game,3,4,Away Team,Home Team
523,December 14 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:30:00,143,3977,St. Cloud State,Omaha,National Collegiate Hockey Conference Conference Game,3,4,Away Team,Home Team
524,December 14 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:35:00,148,1463,Lake Superior State,Bowling Green,WCHA Conference Game,3,2,Home Team,Away Team
525,December 14 2019,Saturday,1900-01-01 19:37:00,1900-01-01 21:57:00,140,1030,Ferris State,Alabama Huntsville,WCHA Conference Game,3,1,Home Team,Away Team
526,December 14 2019,Saturday,1900-01-01 19:10:00,1900-01-01 21:30:00,140,4400,Colorado College,Denver,National Collegiate Hockey Conference Conference Game,1,3,Away Team,Home Team
527,December 15 2019,Sunday,1900-01-01 13:05:00,1900-01-01 15:45:00,160,376,Robert Morris,Army West Point,Atlantic Hockey Conference Game,1,1,Tie,Tie
528,December 15 2019,Sunday,1900-01-01 17:00:00,1900-01-01 19:20:00,140,5004,Michigan State,Arizona State,Non-Conference Game,1,0,Home Team,Away Team
529,December 21 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,5479,Omaha,Arizona State,Non-Conference Game,4,5,Away Team,Home Team
530,December 22 2019,Sunday,1900-01-01 16:07:00,1900-01-01 18:25:00,138,5294,Omaha,Arizona State,Non-Conference Game,8,4,Home Team,Away Team
531,December 27 2019,Friday,1900-01-01 19:00:00,1900-01-01 21:19:00,139,4651,Ohio State,Colgate,Non-Conference Game,3,2,Home Team,Away Team
532,December 28 2019,Saturday,1900-01-01 13:05:00,1900-01-01 15:15:00,130,312,Sacred Heart,Bentley,Atlantic Hockey Conference Game,4,0,Home Team,Away Team
533,December 28 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:13:00,133,4490,Ohio State,Colgate,Non-Conference Game,3,0,Home Team,Away Team
534,December 28 2019,Saturday,1900-01-01 16:02:00,1900-01-01 18:40:00,158,3003,St. Lawrence,UConn,Non-Conference Game,2,2,Tie,Tie
535,December 28 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:15:00,135,3397,Providence,Lake Superior State,Non-Conference Game,2,1,Home Team,Away Team
536,December 28 2019,Saturday,1900-01-01 16:05:00,1900-01-01 18:22:00,137,525,Canisius,Holy Cross,Atlantic Hockey Conference Game,5,2,Home Team,Away Team
537,December 28 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:05:00,125,7615,Minnesota State,St. Cloud State,Non-Conference Game,2,7,Away Team,Home Team
538,December 28 2019,Saturday,1900-01-01 19:03:00,1900-01-01 21:27:00,144,2195,Princeton,Quinnipiac,ECAC Hockey Conference Game,1,3,Away Team,Home Team
539,December 28 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:13:00,133,2253,Harvard,Arizona State,Non-Conference Game,4,1,Home Team,Away Team
540,December 28 2019,Saturday,1900-01-01 19:37:00,1900-01-01 21:53:00,136,3003,Dartmouth,Colorado College,Non-Conference Game,5,2,Home Team,Away Team
541,December 28 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:17:00,132,0,USA Under-18 Team,North Dakota,Exhibition Game,1,3,Away Team,Home Team
542,December 28 2019,Saturday,1900-01-01 19:20:00,1900-01-01 21:46:00,146,3397,Vermont,Union,Non-Conference Game,2,0,Home Team,Away Team
543,December 28 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,7615,Minnesota,Bemidji State,Non-Conference Game,5,2,Home Team,Away Team
544,December 29 2019,Sunday,1900-01-01 13:05:00,1900-01-01 15:20:00,135,311,Sacred Heart,Bentley,Atlantic Hockey Conference Game,2,3,Away Team,Home Team
