Date,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,game_type,winner,loser,venueLoc,homescore,homegoalsallowed,homeemptynetgoalsallowed,homeadjustedgoalsallowed,homeshotsonGoal,awayscorelist,awaygoalsallowed,awayemptynetgoalsallowed,awayadjustedgoalsallowed,awayshotsonGoal,hockeySeason,TotalAdjusted_Goals,TotalShotson_Goal,homeshareShotsonGoal,awayshareShotsonGoal,shotsonGoalDifference,GF,GA,SOG,SOGA,Team,Wins,Losses,Ties,Total,Season Game,Season Wins,Winning %,Season GF,Season SOG,Season GA,Season SOGA,Season GD,Season SOGD,Goals Per Game (mean),SOG per Game (mean),SOGA per Game (mean),Total Goals Per Game (mean),Expected Winning %,Error,Expected Winning GF/GA
10/3/2014,19:07,21:38,151,1452,AKF,WON,home/away,AKF,WON,Alaska,3,1,0,1,41,1,3,0,3,26,2014-2015 Season,4,67,0.611940299,0.388059701,15,3,1,41,26,AKF,1,0,0,1,1,1,1,3,41,1,26,2,15,3,41,26,4,1,0,0.9
10/10/2014,17:07,19:25,138,2422,AKF,WIS,Tournament Game,AKF,WIS,Tournament,1,0,0,0,31,0,1,0,1,14,2014-2015 Season,1,45,0.688888889,0.311111111,17,1,0,31,14,AKF,1,0,0,1,2,2,1,4,72,1,40,3,32,2,36,20,2.5,1.1,-0.1,0.941176471
10/11/2014,16:07,18:20,133,2441,AKF,MNE,Tournament Game,AKF,MNE,Tournament,5,2,0,2,22,2,5,1,4,21,2014-2015 Season,6,43,0.511627907,0.488372093,1,4,2,22,21,AKF,1,0,0,1,3,3,1,8,94,3,61,5,33,2.666666667,31.33333333,20.33333333,3.666666667,0.954545455,0.045454545,0.876712329
10/17/2014,20:30,22:47,137,2522,AKF,AFA,home/away,AKF,AFA,Alaska,4,3,0,3,25,3,4,0,4,16,2014-2015 Season,7,41,0.609756098,0.390243902,9,4,3,25,16,AKF,1,0,0,1,4,4,1,12,119,6,77,6,42,3,29.75,19.25,4.5,0.833333333,0.166666667,0.8
10/18/2014,19:27,21:48,141,3584,AKF,PSU,home/away,AKF,PSU,Alaska,4,3,0,3,33,3,4,0,4,43,2014-2015 Season,7,76,0.434210526,0.565789474,-10,4,3,33,43,AKF,1,0,0,1,5,5,1,16,152,9,120,7,32,3.2,30.4,24,5,0.78,0.22,0.759643917
10/24/2014,19:05,21:33,148,3308,WMU,AKF,home/away,AKF,WMU,Western Michigan,0,1,0,1,34,1,0,0,0,32,2014-2015 Season,1,66,0.515151515,0.484848485,2,1,0,32,34,AKF,1,0,0,1,6,6,1,17,184,9,154,8,30,2.833333333,30.66666667,25.66666667,4.333333333,0.807692308,0.192307692,0.781081081
10/25/2014,19:05,21:34,149,4063,WMU,AKF,home/away,WMU,AKF,Western Michigan,4,2,0,2,37,2,4,1,3,32,2014-2015 Season,5,69,0.536231884,0.463768116,5,2,3,32,37,AKF,0,1,0,1,7,6,0.857142857,19,216,12,191,7,25,2.714285714,30.85714286,27.28571429,4.428571429,0.725806452,0.131336406,0.714851485
10/31/2014,19:37,21:57,140,3015,BMJ,AKF,home/away,BMJ,AKF,Bemidji State,6,1,0,1,24,1,6,0,6,27,2014-2015 Season,7,51,0.470588235,0.529411765,-3,1,6,27,24,AKF,0,1,0,1,8,6,0.75,20,243,18,215,2,28,2.5,30.375,26.875,4.75,0.552631579,0.197368421,0.552486188
11/1/2014,19:07,21:27,140,3397,BMJ,AKF,home/away,BMJ,AKF,Bemidji State,4,3,0,3,23,3,4,0,4,33,2014-2015 Season,7,56,0.410714286,0.589285714,-10,3,4,33,23,AKF,0,1,0,1,9,6,0.666666667,23,276,22,238,1,38,2.555555556,30.66666667,26.44444444,5,0.522222222,0.144444444,0.522211254
11/7/2014,19:07,21:20,133,2401,AKF,BGS,home/away,BGS,AKF,Alaska,2,3,0,3,28,3,2,0,2,33,2014-2015 Season,5,61,0.459016393,0.540983607,-5,2,3,28,33,AKF,0,1,0,1,10,6,0.6,25,304,25,271,0,33,2.5,30.4,27.1,5,0.5,0.1,0.5
11/8/2014,19:07,21:22,135,2578,AKF,BGS,home/away,BGS,AKF,Alaska,2,3,0,3,38,3,2,0,2,29,2014-2015 Season,5,67,0.567164179,0.432835821,9,2,3,38,29,AKF,0,1,0,1,11,6,0.545454545,27,342,28,300,-1,42,2.454545455,31.09090909,27.27272727,5,0.481818182,0.063636364,0.48182419
11/21/2014,19:37,22:00,143,2205,LSS,AKF,home/away,AKF,LSS,Lake Superior State,5,7,0,7,23,7,5,0,5,36,2014-2015 Season,12,59,0.389830508,0.610169492,-13,7,5,36,23,AKF,1,0,0,1,12,7,0.583333333,34,378,33,323,1,55,2.833333333,31.5,26.91666667,5.583333333,0.514925373,0.06840796,0.514922049
11/22/2014,19:07,21:30,143,2084,LSS,AKF,home/away,LSS,AKF,Lake Superior State,3,2,0,2,25,2,3,0,3,29,2014-2015 Season,5,54,0.462962963,0.537037037,-4,2,3,29,25,AKF,0,1,0,1,13,7,0.538461538,36,407,36,348,0,59,2.769230769,31.30769231,26.76923077,5.538461538,0.5,0.038461538,0.5
11/28/2014,19:07,21:37,150,2460,AKF,NMU,home/away,AKF,NMU,Alaska,3,0,0,0,27,0,3,0,3,18,2014-2015 Season,3,45,0.6,0.4,9,3,0,27,18,AKF,1,0,0,1,14,8,0.571428571,39,434,36,366,3,68,2.785714286,31,26.14285714,5.357142857,0.54,0.031428571,0.539936102
11/29/2014,19:00,21:26,146,1741,AKF,NMU,home/away,NMU,AKF,Alaska,1,4,0,4,30,4,1,0,1,29,2014-2015 Season,5,59,0.508474576,0.491525424,1,1,4,30,29,AKF,0,1,0,1,15,8,0.533333333,40,464,40,395,0,69,2.666666667,30.93333333,26.33333333,5.333333333,0.5,0.033333333,0.5
12/5/2014,19:07,21:42,155,3754,MNS,AKF,home/away,AKF,MNS,Minnesota State,4,5,0,5,42,5,4,0,4,26,2014-2015 Season,9,68,0.617647059,0.382352941,16,5,4,26,42,AKF,1,0,0,1,16,9,0.5625,45,490,44,437,1,53,2.8125,30.625,27.3125,5.5625,0.511235955,0.051264045,0.511234537
12/6/2014,19:07,21:27,140,4077,MNS,AKF,home/away,MNS,AKF,Minnesota State,5,2,0,2,25,2,5,0,5,14,2014-2015 Season,7,39,0.641025641,0.358974359,11,2,5,14,25,AKF,0,1,0,1,17,9,0.529411765,47,504,49,462,-2,42,2.764705882,29.64705882,27.17647059,5.647058824,0.479166667,0.050245098,0.479175705
12/12/2014,19:07,21:31,144,2593,AKF,ALH,home/away,AKF,ALH,Alaska,2,1,0,1,46,1,2,0,2,17,2014-2015 Season,3,63,0.73015873,0.26984127,29,2,1,46,17,AKF,1,0,0,1,18,10,0.555555556,49,550,50,479,-1,71,2.722222222,30.55555556,26.61111111,5.5,0.48989899,0.065656566,0.48990002
12/13/2014,19:07,21:24,137,2413,AKF,ALH,home/away,AKF,ALH,Alaska,4,0,0,0,41,0,4,0,4,14,2014-2015 Season,4,55,0.745454545,0.254545455,27,4,0,41,14,AKF,1,0,0,1,19,11,0.578947368,53,591,50,493,3,98,2.789473684,31.10526316,25.94736842,5.421052632,0.529126214,0.049821155,0.529101526
1/2/2015,19:07,21:30,143,1800,AKF,FSU,home/away,AKF,FSU,Alaska,2,1,0,1,40,1,2,0,2,22,2014-2015 Season,3,62,0.64516129,0.35483871,18,2,1,40,22,AKF,1,0,0,1,20,12,0.6,55,631,51,515,4,116,2.75,31.55,25.75,5.3,0.537735849,0.062264151,0.53768219
1/3/2015,19:07,21:37,150,1755,AKF,FSU,home/away,AKF,FSU,Alaska,6,0,0,0,31,0,6,0,6,26,2014-2015 Season,6,57,0.543859649,0.456140351,5,6,0,31,26,AKF,1,0,0,1,21,13,0.619047619,61,662,51,541,10,121,2.904761905,31.52380952,25.76190476,5.333333333,0.589285714,0.029761905,0.588579563
1/9/2015,19:07,21:25,138,3579,BGS,AKF,home/away,BGS,AKF,Bowling Green,3,0,0,0,34,0,3,0,3,18,2014-2015 Season,3,52,0.653846154,0.346153846,16,0,3,18,34,AKF,0,1,0,1,22,13,0.590909091,61,680,54,575,7,105,2.772727273,30.90909091,26.13636364,5.227272727,0.560869565,0.030039526,0.56064487
1/10/2015,19:07,21:42,155,1748,BGS,AKF,home/away,Tie,Tie,Bowling Green,4,4,0,4,36,4,4,0,4,30,2014-2015 Season,8,66,0.545454545,0.454545455,6,4,4,30,36,AKF,0,0,1,1,23,13,0.565217391,65,710,58,611,7,99,2.826086957,30.86956522,26.56521739,5.347826087,0.556910569,0.008306822,0.556726841
1/16/2015,19:07,21:57,170,2493,AKF,AKA,home/away,AKA,AKF,Alaska,1,2,0,2,35,2,1,0,1,24,2014-2015 Season,3,59,0.593220339,0.406779661,11,1,2,35,24,AKF,0,1,0,1,24,13,0.541666667,66,745,60,635,6,110,2.75,31.04166667,26.45833333,5.25,0.547619048,-0.005952381,0.547511312
1/17/2015,19:07,21:35,148,2869,AKF,AKA,home/away,AKA,AKF,Alaska,2,3,0,3,48,3,2,0,2,16,2014-2015 Season,5,64,0.75,0.25,32,2,3,48,16,AKF,0,1,0,1,25,13,0.52,68,793,63,651,5,142,2.72,31.72,26.04,5.24,0.538167939,-0.018167939,0.538112417
1/23/2015,19:07,21:37,150,2836,MTU,AKF,home/away,MTU,AKF,Michigan Tech,4,3,0,3,31,3,4,0,4,28,2014-2015 Season,7,59,0.525423729,0.474576271,3,3,4,28,31,AKF,0,1,0,1,26,13,0.5,71,821,67,682,4,139,2.730769231,31.57692308,26.23076923,5.307692308,0.528985507,-0.028985507,0.528961175
1/24/2015,19:07,21:27,140,3130,MTU,AKF,home/away,MTU,AKF,Michigan Tech,3,2,0,2,30,2,3,0,3,27,2014-2015 Season,5,57,0.526315789,0.473684211,3,2,3,27,30,AKF,0,1,0,1,27,13,0.481481481,73,848,70,712,3,136,2.703703704,31.40740741,26.37037037,5.296296296,0.520979021,-0.039497539,0.520969792
2/6/2015,19:07,21:27,140,2342,AKF,LSS,home/away,AKF,LSS,Alaska,3,1,0,1,41,1,3,1,2,20,2014-2015 Season,3,61,0.672131148,0.327868852,21,2,1,41,20,AKF,1,0,0,1,28,14,0.5,75,889,71,732,4,157,2.678571429,31.75,26.14285714,5.214285714,0.52739726,-0.02739726,0.527376711
2/7/2015,19:00,21:32,152,2416,AKF,LSS,home/away,AKF,LSS,Alaska,2,1,0,1,44,1,2,0,2,21,2014-2015 Season,3,65,0.676923077,0.323076923,23,2,1,44,21,AKF,1,0,0,1,29,15,0.517241379,77,933,72,753,5,180,2.655172414,32.17241379,25.96551724,5.137931034,0.533557047,-0.016315668,0.533519302
2/13/2015,19:07,21:44,157,2329,AKF,MNS,home/away,Tie,Tie,Alaska,1,1,0,1,30,1,1,0,1,18,2014-2015 Season,2,48,0.625,0.375,12,1,1,30,18,AKF,0,0,1,1,30,15,0.5,78,963,73,771,5,192,2.6,32.1,25.7,5.033333333,0.533112583,-0.033112583,0.533076316
2/14/2015,19:07,21:47,160,2702,AKF,MNS,home/away,AKF,MNS,Alaska,3,1,0,1,32,1,3,1,2,25,2014-2015 Season,3,57,0.561403509,0.438596491,7,2,1,32,25,AKF,1,0,0,1,31,16,0.516129032,80,995,74,796,6,199,2.580645161,32.09677419,25.67741935,4.967741935,0.538961039,-0.022832007,0.538901987
2/27/2015,19:07,21:27,140,2032,ALH,AKF,home/away,AKF,ALH,Alabama Huntsville,2,4,0,4,15,4,2,0,2,41,2014-2015 Season,6,56,0.267857143,0.732142857,-26,4,2,41,15,AKF,1,0,0,1,32,17,0.53125,84,1036,76,811,8,225,2.625,32.375,25.34375,5,0.55,-0.01875,0.549875312
2/28/2015,19:07,21:32,145,2051,ALH,AKF,home/away,AKF,ALH,Alabama Huntsville,3,4,0,4,19,4,3,0,3,41,2014-2015 Season,7,60,0.316666667,0.683333333,-22,4,3,41,19,AKF,1,0,0,1,33,18,0.545454545,88,1077,79,830,9,247,2.666666667,32.63636364,25.15151515,5.060606061,0.553892216,-0.00843767,0.553736146
3/6/2015,19:07,21:42,155,2965,AKA,AKF,home/away,AKF,AKA,Alaska Anchorage,0,1,0,1,22,1,0,0,0,24,2014-2015 Season,1,46,0.47826087,0.52173913,-2,1,0,24,22,AKF,1,0,0,1,34,19,0.558823529,89,1101,79,852,10,249,2.617647059,32.38235294,25.05882353,4.941176471,0.55952381,-0.00070028,0.559313656
3/7/2015,19:10,21:45,155,3162,AKA,AKF,home/away,AKF,AKA,Alaska Anchorage,2,3,0,3,16,3,2,0,2,43,2014-2015 Season,5,59,0.271186441,0.728813559,-27,3,2,43,16,AKF,1,0,0,1,35,20,0.571428571,92,1144,81,868,11,276,2.628571429,32.68571429,24.8,4.942857143,0.563583815,0.007844756,0.563327787
10/4/2015,15:07,17:40,153,1275,AKF,MTR,home/away,AKF,MTR,Alaska,4,0,0,0,22,0,4,1,3,37,2015-2016 Season,3,59,0.372881356,0.627118644,-15,3,0,22,37,AKF,1,0,0,1,1,1,1,3,22,0,37,3,-15,3,22,37,3,1.5,-0.5,1
10/9/2015,17:07,19:20,133,1988,AKF,STC,Tournament Game,STC,AKF,Tournament,0,3,0,3,14,3,0,0,0,30,2015-2016 Season,3,44,0.318181818,0.681818182,-16,0,3,14,30,AKF,0,1,0,1,2,1,0.5,3,36,3,67,0,-31,1.5,18,33.5,3,0.5,0,0.5
10/10/2015,16:07,18:15,128,2253,AKF,ASU,Tournament Game,ASU,AKF,Tournament,1,2,0,2,38,2,1,0,1,26,2015-2016 Season,3,64,0.59375,0.40625,12,1,2,38,26,AKF,0,1,0,1,3,1,0.333333333,4,74,5,93,-1,-19,1.333333333,24.66666667,31,3,0.388888889,-0.055555556,0.390243902
10/16/2015,19:07,21:15,128,2760,AKF,AIC,home/away,AKF,AIC,Alaska,7,2,0,2,46,2,7,0,7,24,2015-2016 Season,9,70,0.657142857,0.342857143,22,7,2,46,24,AKF,1,0,0,1,4,2,0.5,11,120,7,117,4,3,2.75,30,29.25,4.5,0.722222222,-0.222222222,0.711764706
10/17/2015,19:07,21:30,143,3036,AKF,REN,home/away,AKF,REN,Alaska,4,2,0,2,51,2,4,1,3,28,2015-2016 Season,5,79,0.64556962,0.35443038,23,3,2,51,28,AKF,1,0,0,1,5,3,0.6,14,171,9,145,5,26,2.8,34.2,29,4.6,0.717391304,-0.117391304,0.707581227
10/30/2015,19:07,21:23,136,3966,MNS,AKF,home/away,MNS,AKF,Minnesota State,5,2,0,2,45,2,5,0,5,15,2015-2016 Season,7,60,0.75,0.25,30,2,5,15,45,AKF,0,1,0,1,6,3,0.5,16,186,14,190,2,-4,2.666666667,31,31.66666667,5,0.566666667,-0.066666667,0.566371681
10/31/2015,19:07,21:31,144,3359,MNS,AKF,home/away,MNS,AKF,Minnesota State,2,1,0,1,39,1,2,0,2,24,2015-2016 Season,3,63,0.619047619,0.380952381,15,1,2,24,39,AKF,0,1,0,1,7,3,0.428571429,17,210,16,229,1,-19,2.428571429,30,32.71428571,4.714285714,0.53030303,-0.101731602,0.530275229
11/6/2015,19:07,21:23,136,2517,AKF,NMU,home/away,AKF,NMU,Alaska,5,2,0,2,22,2,5,0,5,23,2015-2016 Season,7,45,0.488888889,0.511111111,-1,5,2,22,23,AKF,1,0,0,1,8,4,0.5,22,232,18,252,4,-20,2.75,29,31.5,5,0.6,-0.1,0.599009901
11/7/2015,19:07,21:40,153,2685,AKF,NMU,home/away,NMU,AKF,Alaska,2,5,0,5,33,5,2,0,2,29,2015-2016 Season,7,62,0.532258065,0.467741935,4,2,5,33,29,AKF,0,1,0,1,9,4,0.444444444,24,265,23,281,1,-16,2.666666667,29.44444444,31.22222222,5.222222222,0.521276596,-0.076832151,0.521266968
11/13/2015,19:37,21:57,140,3008,BMJ,AKF,home/away,AKF,BMJ,Bemidji State,3,4,0,4,34,4,3,0,3,19,2015-2016 Season,7,53,0.641509434,0.358490566,15,4,3,19,34,AKF,1,0,0,1,10,5,0.5,28,284,26,315,2,-31,2.8,28.4,31.5,5.4,0.537037037,-0.037037037,0.536986301
11/14/2015,19:07,21:30,143,3067,BMJ,AKF,home/away,BMJ,AKF,Bemidji State,6,3,0,3,30,3,6,0,6,23,2015-2016 Season,9,53,0.566037736,0.433962264,7,3,6,23,30,AKF,0,1,0,1,11,5,0.454545455,31,307,32,345,-1,-38,2.818181818,27.90909091,31.36363636,5.727272727,0.484126984,-0.02958153,0.484130982
11/20/2015,19:07,21:43,156,1937,FSU,AKF,home/away,Tie,Tie,Ferris State,2,2,0,2,38,2,2,0,2,38,2015-2016 Season,4,76,0.5,0.5,0,2,2,38,38,AKF,0,0,1,1,12,5,0.416666667,33,345,34,383,-1,-38,2.75,28.75,31.91666667,5.583333333,0.485074627,-0.06840796,0.485077951
11/21/2015,19:07,21:42,155,2200,FSU,AKF,home/away,Tie,Tie,Ferris State,3,3,0,3,42,3,3,0,3,37,2015-2016 Season,6,79,0.53164557,0.46835443,5,3,3,37,42,AKF,0,0,1,1,13,5,0.384615385,36,382,37,425,-1,-43,2.769230769,29.38461538,32.69230769,5.615384615,0.48630137,-0.101685985,0.48630394
11/27/2015,19:07,21:25,138,2379,AKF,MTU,home/away,MTU,AKF,Alaska,1,4,1,3,15,4,1,0,1,33,2015-2016 Season,4,48,0.3125,0.6875,-18,1,3,15,33,AKF,0,1,0,1,14,5,0.357142857,37,397,40,458,-3,-61,2.642857143,28.35714286,32.71428571,5.5,0.461038961,-0.103896104,0.461098013
11/28/2015,19:07,21:37,150,2408,AKF,MTU,home/away,MTU,AKF,Alaska,1,3,1,2,28,3,1,0,1,27,2015-2016 Season,3,55,0.509090909,0.490909091,1,1,2,28,27,AKF,0,1,0,1,15,5,0.333333333,38,425,42,485,-4,-60,2.533333333,28.33333333,32.33333333,5.333333333,0.45,-0.116666667,0.450124688
12/4/2015,19:07,21:23,136,2222,AKF,LSS,home/away,LSS,AKF,Alaska,2,4,0,4,28,4,2,0,2,25,2015-2016 Season,6,53,0.528301887,0.471698113,3,2,4,28,25,AKF,0,1,0,1,16,5,0.3125,40,453,46,510,-6,-57,2.5,28.3125,31.875,5.375,0.430232558,-0.117732558,0.430570506
12/5/2015,19:07,21:37,150,2951,AKF,LSS,home/away,LSS,AKF,Alaska,0,2,1,1,36,2,0,0,0,27,2015-2016 Season,1,63,0.571428571,0.428571429,9,0,1,36,27,AKF,0,1,0,1,17,5,0.294117647,40,489,47,537,-7,-48,2.352941176,28.76470588,31.58823529,5.117647059,0.41954023,-0.125422583,0.420057758
12/11/2015,19:07,21:28,141,2529,AKA,AKF,home/away,AKF,AKA,Alaska Anchorage,1,2,0,2,26,2,1,0,1,27,2015-2016 Season,3,53,0.490566038,0.509433962,-1,2,1,27,26,AKF,1,0,0,1,18,6,0.333333333,42,516,48,563,-6,-47,2.333333333,28.66666667,31.27777778,5,0.433333333,-0.1,0.433628319
12/12/2015,19:07,21:32,145,2278,AKA,AKF,home/away,Tie,Tie,Alaska Anchorage,1,1,0,1,33,1,1,0,1,26,2015-2016 Season,2,59,0.559322034,0.440677966,7,1,1,26,33,AKF,0,0,1,1,19,6,0.315789474,43,542,49,596,-6,-54,2.263157895,28.52631579,31.36842105,4.842105263,0.434782609,-0.118993135,0.435058824
1/2/2016,19:07,21:30,143,2639,AKF,BMJ,home/away,BMJ,AKF,Alaska,5,6,0,6,29,6,5,0,5,33,2015-2016 Season,11,62,0.467741935,0.532258065,-4,5,6,29,33,AKF,0,1,0,1,20,6,0.3,48,571,55,629,-7,-58,2.4,28.55,31.45,5.15,0.432038835,-0.132038835,0.432351285
1/3/2016,17:07,19:30,143,2297,AKF,BMJ,home/away,Tie,Tie,Alaska,1,1,0,1,27,1,1,0,1,30,2015-2016 Season,2,57,0.473684211,0.526315789,-3,1,1,27,30,AKF,0,0,1,1,21,6,0.285714286,49,598,56,659,-7,-61,2.333333333,28.47619048,31.38095238,5,0.433333333,-0.147619048,0.433628319
1/8/2016,19:07,21:34,147,3521,ALH,AKF,home/away,AKF,ALH,Alabama Huntsville,3,6,0,6,31,6,3,0,3,29,2015-2016 Season,9,60,0.516666667,0.483333333,2,6,3,29,31,AKF,1,0,0,1,22,7,0.318181818,55,627,59,690,-4,-63,2.5,28.5,31.36363636,5.181818182,0.464912281,-0.146730463,0.464955426
1/9/2016,19:07,21:30,143,1623,ALH,AKF,home/away,ALH,AKF,Alabama Huntsville,3,1,0,1,27,1,3,0,3,29,2015-2016 Season,4,56,0.482142857,0.517857143,-2,1,3,29,27,AKF,0,1,0,1,23,7,0.304347826,56,656,62,717,-6,-61,2.434782609,28.52173913,31.17391304,5.130434783,0.449152542,-0.144804716,0.449283668
1/15/2016,19:07,21:37,150,2285,NMU,AKF,home/away,AKF,NMU,Northern Michigan,2,3,0,3,27,3,2,0,2,29,2015-2016 Season,5,56,0.482142857,0.517857143,-2,3,2,29,27,AKF,1,0,0,1,24,8,0.333333333,59,685,64,744,-5,-59,2.458333333,28.54166667,31,5.125,0.459349593,-0.12601626,0.459416656
1/16/2016,19:07,21:30,143,2120,NMU,AKF,home/away,NMU,AKF,Northern Michigan,5,3,0,3,36,3,5,1,4,38,2015-2016 Season,7,74,0.486486486,0.513513514,-2,3,4,38,36,AKF,0,1,0,1,25,8,0.32,62,723,68,780,-6,-57,2.48,28.92,31.2,5.2,0.453846154,-0.133846154,0.453944261
1/29/2016,19:07,21:25,138,7080,WIS,AKF,home/away,WIS,AKF,Wisconsin,4,3,0,3,28,3,4,0,4,23,2015-2016 Season,7,51,0.549019608,0.450980392,5,3,4,23,28,AKF,0,1,0,1,26,8,0.307692308,65,746,72,808,-7,-62,2.5,28.69230769,31.07692308,5.269230769,0.448905109,-0.141212802,0.449038155
1/30/2016,19:07,21:27,140,9604,WIS,AKF,home/away,WIS,AKF,Wisconsin,5,2,0,2,34,2,5,0,5,32,2015-2016 Season,7,66,0.515151515,0.484848485,2,2,5,32,34,AKF,0,1,0,1,27,8,0.296296296,67,778,77,842,-10,-64,2.481481481,28.81481481,31.18518519,5.333333333,0.430555556,-0.134259259,0.430888846
2/5/2016,19:07,21:27,140,2602,AKF,FSU,home/away,FSU,AKF,Alaska,0,4,0,4,20,4,0,0,0,24,2015-2016 Season,4,44,0.454545455,0.545454545,-4,0,4,20,24,AKF,0,1,0,1,28,8,0.285714286,67,798,81,866,-14,-68,2.392857143,28.5,30.92857143,5.285714286,0.405405405,-0.11969112,0.406244344
2/6/2016,19:07,21:27,140,2560,AKF,FSU,home/away,FSU,AKF,Alaska,1,2,0,2,32,2,1,0,1,26,2015-2016 Season,3,58,0.551724138,0.448275862,6,1,2,32,26,AKF,0,1,0,1,29,8,0.275862069,68,830,83,892,-15,-62,2.344827586,28.62068966,30.75862069,5.206896552,0.400662252,-0.124800183,0.401632937
2/19/2016,19:07,21:35,148,2498,AKF,BGS,home/away,AKF,BGS,Alaska,2,1,0,1,34,1,2,0,2,34,2015-2016 Season,3,68,0.5,0.5,0,2,1,34,34,AKF,1,0,0,1,30,9,0.3,70,864,84,926,-14,-62,2.333333333,28.8,30.86666667,5.133333333,0.409090909,-0.109090909,0.409836066
2/20/2016,19:07,21:35,148,2781,AKF,BGS,home/away,BGS,AKF,Alaska,1,4,0,4,22,4,1,0,1,25,2015-2016 Season,5,47,0.468085106,0.531914894,-3,1,4,22,25,AKF,0,1,0,1,31,9,0.290322581,71,886,88,951,-17,-65,2.290322581,28.58064516,30.67741935,5.129032258,0.393081761,-0.10275918,0.394290184
2/26/2016,19:07,21:27,140,2637,MTU,AKF,home/away,MTU,AKF,Michigan Tech,6,5,0,5,45,5,6,0,6,30,2015-2016 Season,11,75,0.6,0.4,15,5,6,30,45,AKF,0,1,0,1,32,9,0.28125,76,916,94,996,-18,-80,2.375,28.625,31.125,5.3125,0.394117647,-0.112867647,0.395291541
2/27/2016,19:07,21:34,147,3337,MTU,AKF,home/away,MTU,AKF,Michigan Tech,3,2,0,2,51,2,3,0,3,19,2015-2016 Season,5,70,0.728571429,0.271428571,32,2,3,19,51,AKF,0,1,0,1,33,9,0.272727273,78,935,97,1047,-19,-112,2.363636364,28.33333333,31.72727273,5.303030303,0.391428571,-0.118701299,0.392693474
3/4/2016,19:07,21:47,160,3232,AKF,AKA,home/away,AKF,AKA,Alaska,3,2,0,2,32,2,3,0,3,30,2015-2016 Season,5,62,0.516129032,0.483870968,2,3,2,32,30,AKF,1,0,0,1,34,10,0.294117647,81,967,99,1077,-18,-110,2.382352941,28.44117647,31.67647059,5.294117647,0.4,-0.105882353,0.400990099
3/5/2016,19:14,22:00,166,3665,AKF,AKA,home/away,AKF,AKA,Alaska,3,2,0,2,30,2,3,0,3,21,2015-2016 Season,5,51,0.588235294,0.411764706,9,3,2,30,21,AKF,1,0,0,1,35,11,0.314285714,84,997,101,1098,-17,-101,2.4,28.48571429,31.37142857,5.285714286,0.408108108,-0.093822394,0.408877557
3/11/2016,19:07,21:22,135,2709,MTU,AKF,home/away,MTU,AKF,Michigan Tech,7,1,0,1,42,1,7,0,7,21,2015-2016 Season,8,63,0.666666667,0.333333333,21,1,7,21,42,AKF,0,1,0,1,36,11,0.305555556,85,1018,108,1140,-23,-122,2.361111111,28.27777778,31.66666667,5.361111111,0.380829016,-0.07527346,0.38249775
3/12/2016,19:07,21:30,143,3018,MTU,AKF,home/away,MTU,AKF,Michigan Tech,5,3,0,3,40,3,5,1,4,24,2015-2016 Season,7,64,0.625,0.375,16,3,4,24,40,AKF,0,1,0,1,37,11,0.297297297,88,1042,112,1180,-24,-138,2.378378378,28.16216216,31.89189189,5.405405405,0.38,-0.082702703,0.38170347
10/2/2016,15:07,17:24,137,1775,AKF,SFR,home/away,AKF,SFR,Alaska,2,0,0,0,30,0,2,0,2,20,2016-2017 Season,2,50,0.6,0.4,10,2,0,30,20,AKF,1,0,0,1,1,1,1,2,30,0,20,2,10,2,30,20,2,1.5,-0.5,1
10/8/2016,19:07,21:27,140,3223,AKA,AKF,home/away,AKF,AKA,Alaska Anchorage,1,4,0,4,20,4,1,0,1,27,2016-2017 Season,5,47,0.425531915,0.574468085,-7,4,1,27,20,AKF,1,0,0,1,2,2,1,6,57,1,40,5,17,3,28.5,20,3.5,1.214285714,-0.214285714,0.972972973
10/9/2016,16:07,18:20,133,1682,AKF,MIN,Tournament Game,MIN,AKF,Tournament,3,6,1,5,20,6,3,0,3,27,2016-2017 Season,8,47,0.425531915,0.574468085,-7,3,5,20,27,AKF,0,1,0,1,3,2,0.666666667,9,77,6,67,3,10,3,25.66666667,22.33333333,5,0.7,-0.033333333,0.692307692
10/14/2016,19:17,21:37,140,2263,AKF,CNS,home/away,CNS,AKF,Alaska,1,2,0,2,28,2,1,0,1,22,2016-2017 Season,3,50,0.56,0.44,6,1,2,28,22,AKF,0,1,0,1,4,2,0.5,10,105,8,89,2,16,2.5,26.25,22.25,4.5,0.611111111,-0.111111111,0.609756098
10/15/2016,19:07,21:40,153,2408,AKF,UNO,home/away,UNO,AKF,Alaska,3,4,0,4,25,4,3,0,3,28,2016-2017 Season,7,53,0.471698113,0.528301887,-3,3,4,25,28,AKF,0,1,0,1,5,2,0.4,13,130,12,117,1,13,2.6,26,23.4,5,0.54,-0.14,0.539936102
10/21/2016,19:07,21:22,135,957,AKF,MNS,home/away,MNS,AKF,Alaska,1,7,0,7,16,7,1,0,1,45,2016-2017 Season,8,61,0.262295082,0.737704918,-29,1,7,16,45,AKF,0,1,0,1,6,2,0.333333333,14,146,19,162,-5,-16,2.333333333,24.33333333,27,5.5,0.348484848,-0.015151515,0.351885099
