,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
768,January 30 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:05:00,125,971,Brown,Quinnipiac,ECAC Hockey Conference Game,3,5,Away Team,Home Team,home/away game,Brown,Brown,Meehan Auditorium,2495.0,200x85,Map,85,0.3891783567134269
769,January 30 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:20:00,140,2215,Colgate,Cornell,ECAC Hockey Conference Game,1,2,Away Team,Home Team,home/away game,Colgate,Colgate,Class of 1965 Arena,2100.0,200x85,Map,85,1.0547619047619048
770,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:04:00,119,2004,Dartmouth,Rensselaer,ECAC Hockey Conference Game,3,1,Home Team,Away Team,home/away game,Dartmouth,Dartmouth,Thompson Arena,4500.0,200x90,Map,90,0.44533333333333336
771,January 30 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:10:00,130,2607,Harvard,Union,ECAC Hockey Conference Game,4,5,Away Team,Home Team,home/away game,Harvard,Harvard,Bright Hockey Center,2776.0,204x87,Map,87,0.9391210374639769
772,January 30 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:04:00,124,3500,Yale,Princeton,ECAC Hockey Conference Game,4,0,Home Team,Away Team,home/away game,Yale,Yale,Ingalls Rink,3500.0,200x85,Map,85,1.0
773,January 30 2015,Friday,1900-01-01 19:08:00,1900-01-01 21:35:00,147,2549,Merrimack,UMass Lowell,Hockey East Conference Game,2,1,Home Team,Away Team,home/away game,Merrimack,Merrimack,J. Thom Lawler Rink,2549.0,200x85,Map,85,1.0
774,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:32:00,147,357,American International,Sacred Heart,Atlantic Hockey Conference Game,4,4,Tie,Tie,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.05199533935333527
775,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:30:00,145,1119,Holy Cross,Niagara,Atlantic Hockey Conference Game,6,3,Home Team,Away Team,home/away game,Holy Cross,Holy Cross,Hart Recreation Center,1400.0,200x85,Map,85,0.7992857142857143
776,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,933,Mercyhurst,Bentley,Atlantic Hockey Conference Game,2,3,Away Team,Home Team,home/away game,Mercyhurst,Mercyhurst,Mercyhurst Ice Center,1500.0,200x85,Map,85,0.622
777,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:17:00,132,3403,RIT,Army,Atlantic Hockey Conference Game,2,4,Away Team,Home Team,home/away game,RIT,RIT,Gene Polisseni Center,4300.0,200x85,Map,85,0.7913953488372093
778,January 30 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,2740,Michigan Tech,Alabama Huntsville,WCHA Conference Game,5,0,Home Team,Away Team,home/away game,Michigan Tech,Michigan Tech,MacInnes Student Ice Arena,4200.0,200x85,Map,85,0.6523809523809524
779,January 30 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:25:00,138,2007,Northern Michigan,Alaska Anchorage,WCHA Conference Game,5,3,Home Team,Away Team,home/away game,Northern Michigan,Northern Michigan,Berry Events Center,3800.0,200x100,Map,100,0.5281578947368422
780,January 30 2015,Friday,1900-01-01 19:35:00,1900-01-01 22:01:00,146,7389,Boston College,Providence,Hockey East Conference Game,3,2,Home Team,Away Team,home/away game,Boston College,Boston College,Conte Forum (Kelley Rink),7884.0,200x87,Map,87,0.9372146118721462
781,January 30 2015,Friday,1900-01-01 19:35:00,1900-01-01 22:00:00,145,5026,Boston University,Massachusetts,Hockey East Conference Game,9,5,Home Team,Away Team,home/away game,Boston University,Boston University,Agganis Arena,6300.0,200x90,Map,90,0.7977777777777778
782,January 30 2015,Friday,1900-01-01 19:37:00,1900-01-01 21:59:00,142,3717,Maine,Connecticut,Hockey East Conference Game,1,2,Away Team,Home Team,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.6589257223896472
783,January 30 2015,Friday,1900-01-01 19:36:00,1900-01-01 21:53:00,137,20027,Michigan State,Michigan,Big Ten Conference Game,2,1,Home Team,Away Team,Tournament Game,Joe Louis Arena Detroit,,,,,,,
784,January 30 2015,Friday,1900-01-01 19:35:00,1900-01-01 21:50:00,135,5188,Notre Dame,New Hampshire,Hockey East Conference Game,2,5,Away Team,Home Team,home/away game,Notre Dame,Notre Dame,Compton Family Ice Arena,5022.0,200x95,Map,95,1.0330545599362804
785,January 30 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:21:00,134,4246,Minnesota State,Ferris State,WCHA Conference Game,5,1,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.8041666666666667
786,January 30 2015,Friday,1900-01-01 19:38:00,1900-01-01 22:24:00,166,11168,Omaha,North Dakota,National Collegiate Hockey Conference Conference Game,3,2,Home Team,Away Team,home/away game,Omaha,Omaha,Baxter Arena,7898.0,200x85,Map,85,1.4140288680678652
787,January 30 2015,Friday,1900-01-01 19:37:00,1900-01-01 21:57:00,140,3624,Bemidji State,Bowling Green,WCHA Conference Game,5,2,Home Team,Away Team,home/away game,Bemidji State,Bemidji State,Sanford Center,4373.0,200x85,Map,85,0.8287217013491882
788,January 30 2015,Friday,1900-01-01 20:10:00,1900-01-01 22:30:00,140,11867,Wisconsin,Minnesota,Big Ten Conference Game,5,7,Away Team,Home Team,home/away game,Wisconsin,Wisconsin,Kohl Center,15237.0,200x97,Map,97,0.7788278532519525
789,January 30 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:30:00,145,1987,Air Force,Robert Morris,Atlantic Hockey Conference Game,4,5,Away Team,Home Team,home/away game,Air Force,Air Force,Cadet Ice Arena,2470.0,200x85,Map,85,0.8044534412955465
790,January 30 2015,Friday,1900-01-01 19:37:00,1900-01-01 21:47:00,130,6319,Colorado College,St. Cloud State,National Collegiate Hockey Conference Conference Game,1,7,Away Team,Home Team,home/away game,Colorado College,Colorado College,Colorado Springs World Arena,7343.0,200x100,Map,100,0.8605474601661446
791,January 30 2015,Friday,1900-01-01 19:36:00,1900-01-01 22:01:00,145,4840,Denver,Minnesota Duluth,National Collegiate Hockey Conference Conference Game,3,2,Home Team,Away Team,home/away game,Denver,Denver,Magness Arena,6026.0,200x85,Map,85,0.8031861931629605
792,January 31 2015,Saturday,1900-01-01 13:10:00,1900-01-01 15:30:00,140,11674,Vermont,Penn State,Non-Conference Game,2,4,Away Team,Home Team,Tournament Game,Philadelphia College Hockey Faceoff Philadelphia,,,,,,,
793,January 31 2015,Saturday,1900-01-01 16:00:00,1900-01-01 18:08:00,128,918,Brown,Princeton,ECAC Hockey Conference Game,2,2,Tie,Tie,home/away game,Brown,Brown,Meehan Auditorium,2495.0,200x85,Map,85,0.36793587174348696
794,January 31 2015,Saturday,1900-01-01 18:40:00,1900-01-01 20:50:00,130,4891,Notre Dame,New Hampshire,Hockey East Conference Game,5,3,Home Team,Away Team,home/away game,Notre Dame,Notre Dame,Compton Family Ice Arena,5022.0,200x95,Map,95,0.9739147749900438
795,January 31 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:08:00,128,3719,Clarkson,St. Lawrence,ECAC Hockey Conference Game,1,2,Away Team,Home Team,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,1.2396666666666667
796,January 31 2015,Saturday,1900-01-01 19:08:00,1900-01-01 21:49:00,161,4267,Cornell,Colgate,ECAC Hockey Conference Game,2,2,Tie,Tie,home/away game,Cornell,Cornell,Lynah Rink,4300.0,200x85,Map,85,0.9923255813953489
797,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:11:00,126,2764,Dartmouth,Union,ECAC Hockey Conference Game,3,2,Home Team,Away Team,home/away game,Dartmouth,Dartmouth,Thompson Arena,4500.0,200x90,Map,90,0.6142222222222222
798,January 31 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:08:00,128,3500,Yale,Quinnipiac,ECAC Hockey Conference Game,2,2,Tie,Tie,home/away game,Yale,Yale,Ingalls Rink,3500.0,200x85,Map,85,1.0
799,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:14:00,129,6351,UMass Lowell,Merrimack,Hockey East Conference Game,4,1,Home Team,Away Team,home/away game,UMass Lowell,UMass Lowell,Tsongas Center,6496.0,200x85,Map,85,0.9776785714285714
800,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:46:00,161,4067,Western Michigan,Miami,National Collegiate Hockey Conference Conference Game,3,3,Tie,Tie,home/away game,Western Michigan,Western Michigan,Lawson Ice Arena,3667.0,200x85,Map,85,1.109080992637033
801,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,279,American International,Sacred Heart,Atlantic Hockey Conference Game,2,2,Tie,Tie,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.040635013108068746
802,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:10:00,125,989,Holy Cross,Niagara,Atlantic Hockey Conference Game,5,1,Home Team,Away Team,home/away game,Holy Cross,Holy Cross,Hart Recreation Center,1400.0,200x85,Map,85,0.7064285714285714
803,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,1011,Mercyhurst,Bentley,Atlantic Hockey Conference Game,3,4,Away Team,Home Team,home/away game,Mercyhurst,Mercyhurst,Mercyhurst Ice Center,1500.0,200x85,Map,85,0.674
804,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,2650,RIT,Army,Atlantic Hockey Conference Game,4,1,Home Team,Away Team,home/away game,RIT,RIT,Gene Polisseni Center,4300.0,200x85,Map,85,0.6162790697674418
805,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:23:00,136,2897,Michigan Tech,Alabama Huntsville,WCHA Conference Game,11,1,Home Team,Away Team,home/away game,Michigan Tech,Michigan Tech,MacInnes Student Ice Arena,4200.0,200x85,Map,85,0.6897619047619048
806,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:31:00,144,2219,Northern Michigan,Alaska Anchorage,WCHA Conference Game,3,2,Home Team,Away Team,home/away game,Northern Michigan,Northern Michigan,Berry Events Center,3800.0,200x100,Map,100,0.5839473684210527
807,January 31 2015,Saturday,1900-01-01 19:10:00,1900-01-01 21:50:00,160,13505,Wisconsin,Minnesota,Big Ten Conference Game,4,4,Tie,Tie,home/away game,Wisconsin,Wisconsin,Kohl Center,15237.0,200x97,Map,97,0.886329329920588
808,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:47:00,160,10674,Omaha,North Dakota,National Collegiate Hockey Conference Conference Game,3,4,Away Team,Home Team,home/away game,Omaha,Omaha,Baxter Arena,7898.0,200x85,Map,85,1.351481387693087
809,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,3404,Bemidji State,Bowling Green,WCHA Conference Game,2,2,Tie,Tie,home/away game,Bemidji State,Bemidji State,Sanford Center,4373.0,200x85,Map,85,0.7784129887948776
810,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,4613,Minnesota State,Ferris State,WCHA Conference Game,5,1,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.8736742424242424
811,January 31 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:13:00,128,2074,Air Force,Robert Morris,Atlantic Hockey Conference Game,2,5,Away Team,Home Team,home/away game,Air Force,Air Force,Cadet Ice Arena,2470.0,200x85,Map,85,0.8396761133603239
812,January 31 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:23:00,136,7063,Colorado College,St. Cloud State,National Collegiate Hockey Conference Conference Game,1,6,Away Team,Home Team,home/away game,Colorado College,Colorado College,Colorado Springs World Arena,7343.0,200x100,Map,100,0.9618684461391802
813,January 31 2015,Saturday,1900-01-01 19:06:00,1900-01-01 21:26:00,140,5538,Denver,Minnesota Duluth,National Collegiate Hockey Conference Conference Game,2,4,Away Team,Home Team,home/away game,Denver,Denver,Magness Arena,6026.0,200x85,Map,85,0.9190175904414205
814,February 1 2015,Sunday,1900-01-01 14:05:00,1900-01-01 16:18:00,133,5211,Connecticut,Maine,Hockey East Conference Game,2,2,Tie,Tie,home/away game,Connecticut,,,,,,,
815,February 3 2015,Tuesday,1900-01-01 17:00:00,1900-01-01 20:39:00,219,14520,Boston University,Harvard,Non-Conference Game,4,3,Home Team,Away Team,Tournament Game,Beanpot Boston,,,,,,,
816,February 3 2015,Tuesday,1900-01-01 21:25:00,1900-01-01 00:00:00,155,14520,Boston College,Northeastern,Non-Conference Game,2,3,Away Team,Home Team,Tournament Game,Beanpot Boston,,,,,,,
817,February 4 2015,Wednesday,1900-01-01 19:05:00,1900-01-01 21:23:00,138,4672,Connecticut,Providence,Hockey East Conference Game,2,2,Tie,Tie,home/away game,Connecticut,,,,,,,
818,February 6 2015,Friday,1900-01-01 18:40:00,1900-01-01 21:00:00,140,6033,Penn State,Wisconsin,Big Ten Conference Game,5,2,Home Team,Away Team,home/away game,Penn State,Penn State,Pegula Ice Arena,5704.0,200x85,Map,85,1.057678821879383
819,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:02:00,122,1048,Brown,Dartmouth,ECAC Hockey Conference Game,3,6,Away Team,Home Team,home/away game,Brown,Brown,Meehan Auditorium,2495.0,200x85,Map,85,0.42004008016032063
820,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:02:00,122,2058,Clarkson,Union,ECAC Hockey Conference Game,1,4,Away Team,Home Team,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,0.686
821,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:00:00,120,1147,Colgate,Princeton,ECAC Hockey Conference Game,2,0,Home Team,Away Team,home/away game,Colgate,Colgate,Class of 1965 Arena,2100.0,200x85,Map,85,0.5461904761904762
822,February 6 2015,Friday,1900-01-01 19:04:00,1900-01-01 21:31:00,147,4047,Cornell,Quinnipiac,ECAC Hockey Conference Game,0,1,Away Team,Home Team,home/away game,Cornell,Cornell,Lynah Rink,4300.0,200x85,Map,85,0.9411627906976744
823,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 20:54:00,114,1643,St. Lawrence,Rensselaer,ECAC Hockey Conference Game,3,1,Home Team,Away Team,home/away game,St. Lawrence,St. Lawrence,Appleton Arena,3000.0,200x85,Map,85,0.5476666666666666
824,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:03:00,123,3500,Yale,Harvard,ECAC Hockey Conference Game,3,0,Home Team,Away Team,home/away game,Yale,Yale,Ingalls Rink,3500.0,200x85,Map,85,1.0
825,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:38:00,153,2549,Merrimack,Boston College,Hockey East Conference Game,2,4,Away Team,Home Team,home/away game,Merrimack,Merrimack,J. Thom Lawler Rink,2549.0,200x85,Map,85,1.0
826,February 6 2015,Friday,1900-01-01 19:06:00,1900-01-01 21:31:00,145,4045,Maine,Notre Dame,Hockey East Conference Game,4,4,Tie,Tie,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.7170714412338238
827,February 6 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,2522,Massachusetts,Northeastern,Hockey East Conference Game,3,5,Away Team,Home Team,home/away game,Massachusetts,Massachusetts,William D. Mullins Center,8373.0,200x95,Map,95,0.30120625821091607
828,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:05:00,120,178,American International,Mercyhurst,Atlantic Hockey Conference Game,1,3,Away Team,Home Team,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.025924847072531315
829,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,322,Bentley,Holy Cross,Atlantic Hockey Conference Game,4,3,Home Team,Away Team,home/away game,Bentley,Bentley,Bentley Arena,2117.0,200x85,Map,85,0.15210203117619273
830,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,1217,Niagara,RIT,Atlantic Hockey Conference Game,3,7,Away Team,Home Team,home/away game,Niagara,Niagara,Dwyer Arena,2100.0,200x85,Map,85,0.5795238095238096
831,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:32:00,147,917,Robert Morris,Canisius,Atlantic Hockey Conference Game,2,1,Home Team,Away Team,home/away game,Robert Morris,Robert Morris,Colonials Arena,1589.0,200x85,Map,85,0.5770925110132159
832,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:33:00,148,148,Sacred Heart,Air Force,Atlantic Hockey Conference Game,5,4,Home Team,Away Team,home/away game,Sacred Heart,Sacred Heart,Webster Bank Arena,8525.0,200x85,Map,85,0.017360703812316716
833,February 6 2015,Friday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,3810,Vermont,New Hampshire,Hockey East Conference Game,5,2,Home Team,Away Team,home/away game,Vermont,Vermont,Gutterson Fieldhouse,4003.0,200x90,Map,90,0.9517861603797152
834,February 6 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,2178,Bowling Green,Ferris State,WCHA Conference Game,2,1,Home Team,Away Team,home/away game,Bowling Green,Bowling Green,Slater Family Ice Arena,5000.0,200x85,Map,85,0.4356
835,February 6 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:19:00,132,3684,Michigan Tech,Bemidji State,WCHA Conference Game,3,1,Home Team,Away Team,home/away game,Michigan Tech,Michigan Tech,MacInnes Student Ice Arena,4200.0,200x85,Map,85,0.8771428571428571
836,February 6 2015,Friday,1900-01-01 19:40:00,1900-01-01 21:50:00,130,7241,UMass Lowell,Boston University,Hockey East Conference Game,2,5,Away Team,Home Team,home/away game,UMass Lowell,UMass Lowell,Tsongas Center,6496.0,200x85,Map,85,1.114685960591133
837,February 6 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:20:00,133,3955,Minnesota State,Alaska Anchorage,WCHA Conference Game,5,2,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.7490530303030303
838,February 6 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:17:00,130,6397,Minnesota Duluth,Northern Michigan,Non-Conference Game,3,1,Home Team,Away Team,home/away game,Minnesota Duluth,Minnesota Duluth,AMSOIL Arena,6800.0,200x85,Map,85,0.9407352941176471
839,February 6 2015,Friday,1900-01-01 20:12:00,1900-01-01 22:28:00,136,9969,Minnesota,Ohio State,Big Ten Conference Game,4,2,Home Team,Away Team,home/away game,Minnesota,Minnesota,3M Arena at Mariucci,10000.0,200x100,Map,100,0.9969
840,February 6 2015,Friday,1900-01-01 19:38:00,1900-01-01 21:55:00,137,7498,Colorado College,Denver,National Collegiate Hockey Conference Conference Game,0,3,Away Team,Home Team,home/away game,Colorado College,Colorado College,Colorado Springs World Arena,7343.0,200x100,Map,100,1.0211085387443823
841,February 6 2015,Friday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,2342,Alaska,Lake Superior State,WCHA Conference Game,3,1,Home Team,Away Team,home/away game,Alaska,Alaska,Carlson Center,4595.0,200x100,Map,100,0.5096844396082698
842,February 7 2015,Saturday,1900-01-01 14:07:00,1900-01-01 16:26:00,139,6103,Penn State,Wisconsin,Big Ten Conference Game,4,1,Home Team,Away Team,home/away game,Penn State,Penn State,Pegula Ice Arena,5704.0,200x85,Map,85,1.0699509116409538
843,February 7 2015,Saturday,1900-01-01 15:05:00,1900-01-01 17:05:00,120,164,American International,Mercyhurst,Atlantic Hockey Conference Game,2,5,Away Team,Home Team,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.023885814156714244
844,February 7 2015,Saturday,1900-01-01 16:00:00,1900-01-01 17:58:00,118,837,Brown,Harvard,ECAC Hockey Conference Game,2,1,Home Team,Away Team,home/away game,Brown,Brown,Meehan Auditorium,2495.0,200x85,Map,85,0.3354709418837675
845,February 7 2015,Saturday,1900-01-01 17:40:00,1900-01-01 20:30:00,170,22751,Western Michigan,Miami,National Collegiate Hockey Conference Conference Game,3,4,Away Team,Home Team,Tournament Game,Hockey City Classic at Soldier Field Chicago,,,,,,,
846,February 7 2015,Saturday,1900-01-01 17:07:00,1900-01-01 19:15:00,128,3771,Michigan Tech,Bemidji State,WCHA Conference Game,2,1,Home Team,Away Team,home/away game,Michigan Tech,Michigan Tech,MacInnes Student Ice Arena,4200.0,200x85,Map,85,0.8978571428571429
847,February 7 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:32:00,152,2278,Clarkson,Rensselaer,ECAC Hockey Conference Game,5,2,Home Team,Away Team,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,0.7593333333333333
848,February 7 2015,Saturday,1900-01-01 19:06:00,1900-01-01 21:20:00,134,1155,Colgate,Quinnipiac,ECAC Hockey Conference Game,2,4,Away Team,Home Team,home/away game,Colgate,Colgate,Class of 1965 Arena,2100.0,200x85,Map,85,0.55
849,February 7 2015,Saturday,1900-01-01 19:03:00,1900-01-01 21:06:00,123,4267,Cornell,Princeton,ECAC Hockey Conference Game,4,2,Home Team,Away Team,home/away game,Cornell,Cornell,Lynah Rink,4300.0,200x85,Map,85,0.9923255813953489
850,February 7 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:07:00,127,1465,St. Lawrence,Union,ECAC Hockey Conference Game,7,1,Home Team,Away Team,home/away game,St. Lawrence,St. Lawrence,Appleton Arena,3000.0,200x85,Map,85,0.48833333333333334
851,February 7 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:08:00,128,3500,Yale,Dartmouth,ECAC Hockey Conference Game,4,6,Away Team,Home Team,home/away game,Yale,Yale,Ingalls Rink,3500.0,200x85,Map,85,1.0
852,February 7 2015,Saturday,1900-01-01 19:06:00,1900-01-01 21:28:00,142,4350,Maine,Notre Dame,Hockey East Conference Game,1,5,Away Team,Home Team,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.7711398688175856
853,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:23:00,138,3033,Providence,Connecticut,Hockey East Conference Game,10,1,Home Team,Away Team,home/away game,Providence,Providence,Schneider Arena,3030.0,200x85,Map,85,1.000990099009901
854,February 7 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:14:00,134,2726,Massachusetts,UMass Lowell,Hockey East Conference Game,5,2,Home Team,Away Team,home/away game,Massachusetts,Massachusetts,William D. Mullins Center,8373.0,200x95,Map,95,0.3255702854412994
855,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,1275,Holy Cross,Bentley,Atlantic Hockey Conference Game,2,5,Away Team,Home Team,home/away game,Holy Cross,Holy Cross,Hart Recreation Center,1400.0,200x85,Map,85,0.9107142857142857
856,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:34:00,149,3205,RIT,Niagara,Atlantic Hockey Conference Game,4,4,Tie,Tie,home/away game,RIT,RIT,Gene Polisseni Center,4300.0,200x85,Map,85,0.7453488372093023
857,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,1607,Robert Morris,Canisius,Atlantic Hockey Conference Game,1,1,Tie,Tie,home/away game,Robert Morris,Robert Morris,Colonials Arena,1589.0,200x85,Map,85,1.0113278791692888
858,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,233,Sacred Heart,Air Force,Atlantic Hockey Conference Game,3,2,Home Team,Away Team,home/away game,Sacred Heart,Sacred Heart,Webster Bank Arena,8525.0,200x85,Map,85,0.027331378299120235
859,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:30:00,145,4007,Vermont,New Hampshire,Hockey East Conference Game,3,6,Away Team,Home Team,home/away game,Vermont,Vermont,Gutterson Fieldhouse,4003.0,200x90,Map,90,1.0009992505620784
860,February 7 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:25:00,138,3381,Bowling Green,Ferris State,WCHA Conference Game,3,2,Home Team,Away Team,home/away game,Bowling Green,Bowling Green,Slater Family Ice Arena,5000.0,200x85,Map,85,0.6762
861,February 7 2015,Saturday,1900-01-01 20:40:00,1900-01-01 23:08:00,148,22751,Michigan,Michigan State,Big Ten Conference Game,4,1,Home Team,Away Team,Tournament Game,Hockey City Classic at Soldier Field Chicago,,,,,,,
862,February 7 2015,Saturday,1900-01-01 19:05:00,1900-01-01 21:19:00,134,10143,Minnesota,Ohio State,Big Ten Conference Game,6,2,Home Team,Away Team,home/away game,Minnesota,Minnesota,3M Arena at Mariucci,10000.0,200x100,Map,100,1.0143
863,February 7 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:30:00,143,4870,Minnesota State,Alaska Anchorage,WCHA Conference Game,4,0,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.9223484848484849
864,February 7 2015,Saturday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,7073,Minnesota Duluth,Northern Michigan,Non-Conference Game,6,3,Home Team,Away Team,home/away game,Minnesota Duluth,Minnesota Duluth,AMSOIL Arena,6800.0,200x85,Map,85,1.0401470588235293
865,February 7 2015,Saturday,1900-01-01 19:00:00,1900-01-01 21:32:00,152,2416,Alaska,Lake Superior State,WCHA Conference Game,2,1,Home Team,Away Team,home/away game,Alaska,Alaska,Carlson Center,4595.0,200x100,Map,100,0.5257889009793254
866,February 10 2015,Tuesday,1900-01-01 19:05:00,1900-01-01 21:19:00,134,4194,Connecticut,Merrimack,Hockey East Conference Game,1,0,Home Team,Away Team,home/away game,Connecticut,,,,,,,
867,February 13 2015,Friday,1900-01-01 18:40:00,1900-01-01 20:57:00,137,4885,Ohio State,Wisconsin,Big Ten Conference Game,2,1,Home Team,Away Team,home/away game,Ohio State,Ohio State,Value City Arena,17500.0,200x85,Map,85,0.27914285714285714
868,February 13 2015,Friday,1900-01-01 19:06:00,1900-01-01 21:26:00,140,6528,Michigan State,Penn State,Big Ten Conference Game,3,0,Home Team,Away Team,home/away game,Michigan State,Michigan State,Munn Ice Arena,6470.0,200x85,Map,85,1.008964451313756
869,February 13 2015,Friday,1900-01-01 19:08:00,1900-01-01 21:14:00,126,2673,Dartmouth,Cornell,ECAC Hockey Conference Game,3,2,Home Team,Away Team,home/away game,Dartmouth,Dartmouth,Thompson Arena,4500.0,200x90,Map,90,0.594
870,February 13 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:06:00,126,2237,Harvard,Colgate,ECAC Hockey Conference Game,4,1,Home Team,Away Team,home/away game,Harvard,Harvard,Bright Hockey Center,2776.0,204x87,Map,87,0.805835734870317
871,February 13 2015,Friday,1900-01-01 19:00:00,1900-01-01 20:57:00,117,1735,Princeton,Clarkson,ECAC Hockey Conference Game,2,1,Home Team,Away Team,home/away game,Princeton,Princeton,Hobey Baker Rink,2100.0,200x85,Map,85,0.8261904761904761
872,February 13 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:06:00,126,3532,Quinnipiac,St. Lawrence,ECAC Hockey Conference Game,2,1,Home Team,Away Team,home/away game,Quinnipiac,Quinnipiac,People's United Center,3286.0,200x85,Map,85,1.0748630553864882
873,February 13 2015,Friday,1900-01-01 19:00:00,1900-01-01 21:06:00,126,3086,Rensselaer,Brown,ECAC Hockey Conference Game,3,6,Away Team,Home Team,home/away game,Rensselaer,Rensselaer,Houston Field House,4780.0,200x85,Map,85,0.6456066945606694
