,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
127,October 18 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:34:00,147,5375,Minnesota State,Minnesota Duluth,Non-Conference Game,2,6,Away Team,Home Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,1.0179924242424243
128,October 18 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:23:00,136,4599,Northern Michigan,Wisconsin,Non-Conference Game,4,1,Home Team,Away Team,Tournament Game,at Resch Center,,,,,,,
129,October 18 2014,Saturday,1900-01-01 16:07:00,1900-01-01 18:23:00,136,916,Alaska Anchorage,Air Force,Non-Conference Game,4,1,Home Team,Away Team,Tournament Game,Brice Alaska Goal Rush,,,,,,,
130,October 18 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:24:00,137,6894,Colorado College,North Dakota,National Collegiate Hockey Conference Conference Game,2,7,Away Team,Home Team,home/away game,Colorado College,Colorado College,Colorado Springs World Arena,7343.0,200x100,Map,100,0.9388533297017567
131,October 18 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:24:00,137,4113,Denver,Rensselaer,Non-Conference Game,4,1,Home Team,Away Team,home/away game,Denver,Denver,Magness Arena,6026.0,200x85,Map,85,0.6825423166279456
132,October 18 2014,Saturday,1900-01-01 19:27:00,1900-01-01 21:48:00,141,3584,Alaska,Penn State,Non-Conference Game,4,3,Home Team,Away Team,home/away game,Alaska,Alaska,Carlson Center,4595.0,200x100,Map,100,0.7799782372143634
133,October 21 2014,Tuesday,1900-01-01 19:00:00,1900-01-01 21:11:00,131,1435,Quinnipiac,Connecticut,Non-Conference Game,1,4,Away Team,Home Team,home/away game,Quinnipiac,Quinnipiac,People's United Center,3286.0,200x85,Map,85,0.4367011564211808
134,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 21:12:00,132,4370,Northeastern,Massachusetts,Hockey East Conference Game,2,3,Away Team,Home Team,home/away game,Northeastern,Northeastern,Matthews Arena,4666.0,200x90,Map,90,0.9365623660522931
135,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,2592,Clarkson,Bowling Green,Non-Conference Game,2,2,Tie,Tie,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,0.864
136,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,3599,Maine,Alaska Anchorage,Non-Conference Game,3,1,Home Team,Away Team,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.6380074454883886
137,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 21:28:00,148,6043,Penn State,Holy Cross,Non-Conference Game,3,1,Home Team,Away Team,home/away game,Penn State,Penn State,Pegula Ice Arena,5704.0,200x85,Map,85,1.0594319775596073
138,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 20:57:00,117,3095,Rensselaer,Bentley,Non-Conference Game,2,5,Away Team,Home Team,home/away game,Rensselaer,Rensselaer,Houston Field House,4780.0,200x85,Map,85,0.647489539748954
139,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 21:00:00,120,2294,Union,St. Cloud State,Non-Conference Game,5,1,Home Team,Away Team,home/away game,Union,Union,Achilles Center,2504.0,200x85,Map,85,0.9161341853035144
140,October 24 2014,Friday,1900-01-01 19:08:00,1900-01-01 21:30:00,142,6753,UMass Lowell,Michigan,Non-Conference Game,4,8,Away Team,Home Team,home/away game,UMass Lowell,UMass Lowell,Tsongas Center,6496.0,200x85,Map,85,1.0395628078817734
142,October 24 2014,Friday,1900-01-01 19:00:00,1900-01-01 20:56:00,116,1841,Yale,Alberta,Exhibition Game,0,3,Away Team,Home Team,home/away game,Yale,Yale,Ingalls Rink,3500.0,200x85,Map,85,0.526
143,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:09:00,124,203,American International,Canisius,Atlantic Hockey Conference Game,1,3,Away Team,Home Team,home/away game,American International,American International,MassMutual Center,6866.0,200x85,Map,85,0.02956597727934751
144,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,1142,Army,Robert Morris,Atlantic Hockey Conference Game,0,3,Away Team,Home Team,home/away game,Army,,,,,,,
145,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,1214,Mercyhurst,Merrimack,Non-Conference Game,4,5,Away Team,Home Team,home/away game,Mercyhurst,Mercyhurst,Mercyhurst Ice Center,1500.0,200x85,Map,85,0.8093333333333333
146,October 24 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:21:00,136,261,Sacred Heart,Colgate,Non-Conference Game,2,5,Away Team,Home Team,home/away game,Sacred Heart,Sacred Heart,Webster Bank Arena,8525.0,200x85,Map,85,0.0306158357771261
