,Date,homeTeam,awayTeam,gameType,winner,loser,homeadjustedgoalsallowed,homeshotsonGoal,awayadjustedgoalsallowed,awayshotsonGoal,0,hockeySeason,GF,GA,SOG,SOGA,Team,Wins,Losses,Ties,Total,Season Game,Season Wins,Winning %,Season GF,Season SOG,Season GA,Season SOGA,Season GD,Season SOGD,Goals Per Game (mean),SOG per Game (mean),SOGA per Game (mean),Total Goals Per Game (mean),Expected Winning %,Error,Expected Winning GF/GA
0,2014-10-03,AKF,WON,home/away,AKF,WON,1,41,3,26,100.0,2014-2015 Season,3,1,41,26,AKF,1,0,0,1,1,1,1.0,3,41,1,26,2,15,3.0,41.0,26.0,4.0,1.0,0.0,0.9
63,2014-10-10,AKF,WIS,Tournament Game,AKF,WIS,0,31,1,14,,2014-2015 Season,1,0,31,14,AKF,1,0,0,1,2,2,1.0,4,72,1,40,3,32,2.0,36.0,20.0,2.5,1.1,-0.10000000000000009,0.9411764705882353
79,2014-10-11,AKF,MNE,Tournament Game,AKF,MNE,2,22,4,21,,2014-2015 Season,4,2,22,21,AKF,1,0,0,1,3,3,1.0,8,94,3,61,5,33,2.6666666666666665,31.333333333333332,20.333333333333332,3.6666666666666665,0.9545454545454546,0.045454545454545414,0.8767123287671232
108,2014-10-17,AKF,AFA,home/away,AKF,AFA,3,25,4,16,100.0,2014-2015 Season,4,3,25,16,AKF,1,0,0,1,4,4,1.0,12,119,6,77,6,42,3.0,29.75,19.25,4.5,0.8333333333333333,0.16666666666666674,0.8
132,2014-10-18,AKF,PSU,home/away,AKF,PSU,3,33,4,43,100.0,2014-2015 Season,4,3,33,43,AKF,1,0,0,1,5,5,1.0,16,152,9,120,7,32,3.2,30.4,24.0,5.0,0.78,0.21999999999999997,0.7596439169139466
266,2014-11-07,AKF,BGS,home/away,BGS,AKF,3,28,2,33,100.0,2014-2015 Season,2,3,28,33,AKF,0,1,0,1,6,5,0.8333333333333334,18,180,12,153,6,27,3.0,30.0,25.5,5.0,0.7,0.13333333333333341,0.6923076923076923
291,2014-11-08,AKF,BGS,home/away,BGS,AKF,3,38,2,29,100.0,2014-2015 Season,2,3,38,29,AKF,0,1,0,1,7,5,0.7142857142857143,20,218,15,182,5,36,2.857142857142857,31.142857142857142,26.0,5.0,0.6428571428571428,0.07142857142857151,0.64
416,2014-11-28,AKF,NMU,home/away,AKF,NMU,0,27,3,18,100.0,2014-2015 Season,3,0,27,18,AKF,1,0,0,1,8,6,0.75,23,245,15,200,8,45,2.875,30.625,25.0,4.75,0.7105263157894737,0.03947368421052633,0.7015915119363395
439,2014-11-29,AKF,NMU,home/away,NMU,AKF,4,30,1,29,100.0,2014-2015 Season,1,4,30,29,AKF,0,1,0,1,9,6,0.6666666666666666,24,275,19,229,5,46,2.6666666666666665,30.555555555555557,25.444444444444443,4.777777777777778,0.6162790697674418,0.050387596899224785,0.6147278548559232
502,2014-12-12,AKF,ALH,home/away,AKF,ALH,1,46,2,17,100.0,2014-2015 Season,2,1,46,17,AKF,1,0,0,1,10,7,0.7,26,321,20,246,6,75,2.6,32.1,24.6,4.6,0.6304347826086957,0.06956521739130428,0.6282527881040892
516,2014-12-13,AKF,ALH,home/away,AKF,ALH,0,41,4,14,100.0,2014-2015 Season,4,0,41,14,AKF,1,0,0,1,11,8,0.7272727272727273,30,362,20,260,10,102,2.727272727272727,32.90909090909091,23.636363636363637,4.545454545454546,0.7,0.027272727272727337,0.6923076923076923
574,2015-01-02,AKF,FSU,home/away,AKF,FSU,1,40,2,22,100.0,2014-2015 Season,2,1,40,22,AKF,1,0,0,1,12,9,0.75,32,402,21,282,11,120,2.6666666666666665,33.5,23.5,4.416666666666667,0.7075471698113207,0.04245283018867929,0.6989761092150171
597,2015-01-03,AKF,FSU,home/away,AKF,FSU,0,31,6,26,100.0,2014-2015 Season,6,0,31,26,AKF,1,0,0,1,13,10,0.7692307692307693,38,433,21,308,17,125,2.923076923076923,33.30769230769231,23.692307692307693,4.538461538461538,0.788135593220339,-0.01890482398956972,0.7660477453580902
685,2015-01-16,AKF,AKA,home/away,AKA,AKF,2,35,1,24,100.0,2014-2015 Season,1,2,35,24,AKF,0,1,0,1,14,10,0.7142857142857143,39,468,23,332,16,136,2.7857142857142856,33.42857142857143,23.714285714285715,4.428571428571429,0.7580645161290323,-0.04377880184331795,0.7419512195121951
709,2015-01-17,AKF,AKA,home/away,AKA,AKF,3,48,2,16,100.0,2014-2015 Season,2,3,48,16,AKF,0,1,0,1,15,10,0.6666666666666666,41,516,26,348,15,168,2.7333333333333334,34.4,23.2,4.466666666666667,0.7238805970149254,-0.057213930348258724,0.7131947390750955
841,2015-02-06,AKF,LSS,home/away,AKF,LSS,1,41,2,20,100.0,2014-2015 Season,2,1,41,20,AKF,1,0,0,1,16,11,0.6875,43,557,27,368,16,189,2.6875,34.8125,23.0,4.375,0.7285714285714285,-0.04107142857142854,0.71722265321955
865,2015-02-07,AKF,LSS,home/away,AKF,LSS,1,44,2,21,100.0,2014-2015 Season,2,1,44,21,AKF,1,0,0,1,17,12,0.7058823529411765,45,601,28,389,17,212,2.6470588235294117,35.35294117647059,22.88235294117647,4.294117647058823,0.7328767123287672,-0.02699435938759065,0.7208971164115343
895,2015-02-13,AKF,MNS,home/away,Tie,Tie,1,30,1,18,100.0,2014-2015 Season,1,1,30,18,AKF,0,0,1,1,18,12,0.6666666666666666,46,631,29,407,17,224,2.5555555555555554,35.05555555555556,22.61111111111111,4.166666666666667,0.7266666666666667,-0.06000000000000005,0.7155901251268177
923,2015-02-14,AKF,MNS,home/away,AKF,MNS,1,32,2,25,100.0,2014-2015 Season,2,1,32,25,AKF,1,0,0,1,19,13,0.6842105263157895,48,663,30,432,18,231,2.526315789473684,34.89473684210526,22.736842105263158,4.105263157894737,0.7307692307692308,-0.046558704453441346,0.7191011235955056
1212,2015-10-04,AKF,MTR,home/away,AKF,MTR,0,22,3,37,100.0,2015-2016 Season,3,0,22,37,AKF,1,0,0,1,1,1,1.0,3,22,0,37,3,-15,3.0,22.0,37.0,3.0,1.5,-0.5,1.0
1234,2015-10-09,AKF,STC,Tournament Game,STC,AKF,3,14,0,30,,2015-2016 Season,0,3,14,30,AKF,0,1,0,1,2,1,0.5,3,36,3,67,0,-31,1.5,18.0,33.5,3.0,0.5,0.0,0.5
1256,2015-10-10,AKF,ASU,Tournament Game,ASU,AKF,2,38,1,26,,2015-2016 Season,1,2,38,26,AKF,0,1,0,1,3,1,0.3333333333333333,4,74,5,93,-1,-19,1.3333333333333333,24.666666666666668,31.0,3.0,0.3888888888888889,-0.05555555555555558,0.3902439024390244
1288,2015-10-16,AKF,AIC,home/away,AKF,AIC,2,46,7,24,100.0,2015-2016 Season,7,2,46,24,AKF,1,0,0,1,4,2,0.5,11,120,7,117,4,3,2.75,30.0,29.25,4.5,0.7222222222222222,-0.2222222222222222,0.711764705882353
1310,2015-10-17,AKF,REN,home/away,AKF,REN,2,51,3,28,100.0,2015-2016 Season,3,2,51,28,AKF,1,0,0,1,5,3,0.6,14,171,9,145,5,26,2.8,34.2,29.0,4.6,0.717391304347826,-0.11739130434782608,0.7075812274368231
1446,2015-11-06,AKF,NMU,home/away,AKF,NMU,2,22,5,23,100.0,2015-2016 Season,5,2,22,23,AKF,1,0,0,1,6,4,0.6666666666666666,19,193,11,168,8,25,3.1666666666666665,32.166666666666664,28.0,5.0,0.7666666666666666,-0.09999999999999998,0.7489626556016598
1470,2015-11-07,AKF,NMU,home/away,NMU,AKF,5,33,2,29,100.0,2015-2016 Season,2,5,33,29,AKF,0,1,0,1,7,4,0.5714285714285714,21,226,16,197,5,29,3.0,32.285714285714285,28.142857142857142,5.285714285714286,0.6351351351351351,-0.06370656370656369,0.6327116212338594
1594,2015-11-27,AKF,MTU,home/away,MTU,AKF,3,15,1,33,100.0,2015-2016 Season,1,3,15,33,AKF,0,1,0,1,8,4,0.5,22,241,19,230,3,11,2.75,30.125,28.75,5.125,0.573170731707317,-0.07317073170731703,0.5727810650887574
1616,2015-11-28,AKF,MTU,home/away,MTU,AKF,2,28,1,27,100.0,2015-2016 Season,1,2,28,27,AKF,0,1,0,1,9,4,0.4444444444444444,23,269,21,257,2,12,2.5555555555555554,29.88888888888889,28.555555555555557,4.888888888888889,0.5454545454545454,-0.101010101010101,0.545360824742268
1649,2015-12-04,AKF,LSS,home/away,LSS,AKF,4,28,2,25,100.0,2015-2016 Season,2,4,28,25,AKF,0,1,0,1,10,4,0.4,25,297,25,282,0,15,2.5,29.7,28.2,5.0,0.5,-0.09999999999999998,0.5
1679,2015-12-05,AKF,LSS,home/away,LSS,AKF,1,36,0,27,100.0,2015-2016 Season,0,1,36,27,AKF,0,1,0,1,11,4,0.36363636363636365,25,333,26,309,-1,24,2.272727272727273,30.272727272727273,28.09090909090909,4.636363636363637,0.4803921568627451,-0.11675579322638147,0.4803996925441968
1780,2016-01-02,AKF,BMJ,home/away,BMJ,AKF,6,29,5,33,100.0,2015-2016 Season,5,6,29,33,AKF,0,1,0,1,12,4,0.3333333333333333,30,362,32,342,-2,20,2.5,30.166666666666668,28.5,5.166666666666667,0.467741935483871,-0.13440860215053768,0.4677754677754678
1791,2016-01-03,AKF,BMJ,home/away,Tie,Tie,1,27,1,30,100.0,2015-2016 Season,1,1,27,30,AKF,0,0,1,1,13,4,0.3076923076923077,31,389,33,372,-2,17,2.3846153846153846,29.923076923076923,28.615384615384617,4.923076923076923,0.46875,-0.1610576923076923,0.468780487804878
2041,2016-02-05,AKF,FSU,home/away,FSU,AKF,4,20,0,24,100.0,2015-2016 Season,0,4,20,24,AKF,0,1,0,1,14,4,0.2857142857142857,31,409,37,396,-6,13,2.2142857142857144,29.214285714285715,28.285714285714285,4.857142857142857,0.4117647058823529,-0.12605042016806722,0.41244635193133045
2065,2016-02-06,AKF,FSU,home/away,FSU,AKF,2,32,1,26,100.0,2015-2016 Season,1,2,32,26,AKF,0,1,0,1,15,4,0.26666666666666666,32,441,39,422,-7,19,2.1333333333333333,29.4,28.133333333333333,4.733333333333333,0.4014084507042254,-0.1347417840375587,0.4023575638506876
2150,2016-02-19,AKF,BGS,home/away,AKF,BGS,1,34,2,34,100.0,2015-2016 Season,2,1,34,34,AKF,1,0,0,1,16,5,0.3125,34,475,40,456,-6,19,2.125,29.6875,28.5,4.625,0.4189189189189189,-0.10641891891891891,0.41944847605224966
2176,2016-02-20,AKF,BGS,home/away,BGS,AKF,4,22,1,25,100.0,2015-2016 Season,1,4,22,25,AKF,0,1,0,1,17,5,0.29411764705882354,35,497,44,481,-9,16,2.0588235294117645,29.235294117647058,28.294117647058822,4.647058823529412,0.3860759493670886,-0.09195830230826507,0.38753559000316357
2259,2016-03-04,AKF,AKA,home/away,AKF,AKA,2,32,3,30,100.0,2015-2016 Season,3,2,32,30,AKF,1,0,0,1,18,6,0.3333333333333333,38,529,46,511,-8,18,2.111111111111111,29.38888888888889,28.38888888888889,4.666666666666667,0.40476190476190477,-0.07142857142857145,0.40561797752808987
2280,2016-03-05,AKF,AKA,home/away,AKF,AKA,2,30,3,21,100.0,2015-2016 Season,3,2,30,21,AKF,1,0,0,1,19,7,0.3684210526315789,41,559,48,532,-7,27,2.1578947368421053,29.42105263157895,28.0,4.684210526315789,0.4213483146067416,-0.052927261975162676,0.421831869510665
2416,2016-10-02,AKF,SFR,home/away,AKF,SFR,0,30,2,20,100.0,2016-2017 Season,2,0,30,20,AKF,1,0,0,1,1,1,1.0,2,30,0,20,2,10,2.0,30.0,20.0,2.0,1.5,-0.5,1.0
2467,2016-10-09,AKF,MIN,Tournament Game,MIN,AKF,5,20,3,27,,2016-2017 Season,3,5,20,27,AKF,0,1,0,1,2,1,0.5,5,50,5,47,0,3,2.5,25.0,23.5,5.0,0.5,0.0,0.5
2488,2016-10-14,AKF,CNS,home/away,CNS,AKF,2,28,1,22,100.0,2016-2017 Season,1,2,28,22,AKF,0,1,0,1,3,1,0.3333333333333333,6,78,7,69,-1,9,2.0,26.0,23.0,4.333333333333333,0.4230769230769231,-0.08974358974358976,0.4235294117647059
2508,2016-10-15,AKF,UNO,home/away,UNO,AKF,4,25,3,28,100.0,2016-2017 Season,3,4,25,28,AKF,0,1,0,1,4,1,0.25,9,103,11,97,-2,6,2.25,25.75,24.25,5.0,0.4,-0.15000000000000002,0.400990099009901
2537,2016-10-21,AKF,MNS,home/away,MNS,AKF,7,16,1,45,100.0,2016-2017 Season,1,7,16,45,AKF,0,1,0,1,5,1,0.2,10,119,18,142,-8,-23,2.0,23.8,28.4,5.6,0.2142857142857143,-0.01428571428571429,0.2358490566037736
2562,2016-10-22,AKF,MNS,home/away,AKF,MNS,2,22,3,27,100.0,2016-2017 Season,3,2,22,27,AKF,1,0,0,1,6,2,0.3333333333333333,13,141,20,169,-7,-28,2.1666666666666665,23.5,28.166666666666668,5.5,0.28787878787878785,0.04545454545454547,0.29701230228471004
2649,2016-11-04,AKF,BMJ,home/away,BMJ,AKF,6,18,2,32,100.0,2016-2017 Season,2,6,18,32,AKF,0,1,0,1,7,2,0.2857142857142857,15,159,26,201,-11,-42,2.142857142857143,22.714285714285715,28.714285714285715,5.857142857142857,0.23170731707317072,0.05400696864111498,0.24972253052164262
2673,2016-11-05,AKF,BMJ,home/away,BMJ,AKF,3,22,1,23,100.0,2016-2017 Season,1,3,22,23,AKF,0,1,0,1,8,2,0.25,16,181,29,224,-13,-43,2.0,22.625,28.0,5.625,0.21111111111111114,0.03888888888888886,0.2333637192342753
2804,2016-11-25,AKF,MTU,home/away,MTU,AKF,3,23,1,31,100.0,2016-2017 Season,1,3,23,31,AKF,0,1,0,1,9,2,0.2222222222222222,17,204,32,255,-15,-51,1.8888888888888888,22.666666666666668,28.333333333333332,5.444444444444445,0.19387755102040816,0.028344671201814053,0.22010662604722012
2824,2016-11-26,AKF,MTU,home/away,MTU,AKF,2,27,1,30,100.0,2016-2017 Season,1,2,27,30,AKF,0,1,0,1,10,2,0.2,18,231,34,285,-16,-54,1.8,23.1,28.5,5.2,0.1923076923076923,0.0076923076923077205,0.21891891891891893
2905,2016-12-09,AKF,AKA,home/away,AKA,AKF,3,32,2,23,100.0,2016-2017 Season,2,3,32,23,AKF,0,1,0,1,11,2,0.18181818181818182,20,263,37,308,-17,-45,1.8181818181818181,23.90909090909091,28.0,5.181818181818182,0.2017543859649123,-0.019936204146730474,0.22611644997173544
2929,2016-12-10,AKF,AKA,home/away,AKF,AKA,1,30,3,27,100.0,2016-2017 Season,3,1,30,27,AKF,1,0,0,1,12,3,0.25,23,293,38,335,-15,-42,1.9166666666666667,24.416666666666668,27.916666666666668,5.083333333333333,0.2540983606557377,-0.0040983606557377095,0.2681196147997973
2936,2016-12-16,AKF,BGS,home/away,AKF,BGS,2,28,3,23,100.0,2016-2017 Season,3,2,28,23,AKF,1,0,0,1,13,4,0.3076923076923077,26,321,40,358,-14,-37,2.0,24.692307692307693,27.53846153846154,5.076923076923077,0.28787878787878785,0.019813519813519864,0.29701230228471004
2942,2016-12-17,AKF,BGS,home/away,BGS,AKF,6,18,3,39,100.0,2016-2017 Season,3,6,18,39,AKF,0,1,0,1,14,4,0.2857142857142857,29,339,46,397,-17,-58,2.0714285714285716,24.214285714285715,28.357142857142858,5.357142857142857,0.2733333333333333,0.012380952380952381,0.28440987487318226
3239,2017-02-03,AKF,ALH,home/away,AKF,ALH,0,34,3,31,100.0,2016-2017 Season,3,0,34,31,AKF,1,0,0,1,15,5,0.3333333333333333,32,373,46,428,-14,-55,2.1333333333333333,24.866666666666667,28.533333333333335,5.2,0.3205128205128205,0.01282051282051283,0.32611464968152865
3262,2017-02-04,AKF,ALH,home/away,ALH,AKF,3,31,1,24,100.0,2016-2017 Season,1,3,31,24,AKF,0,1,0,1,16,5,0.3125,33,404,49,452,-16,-48,2.0625,25.25,28.25,5.125,0.3048780487804878,0.007621951219512202,0.3120343839541547
3347,2017-02-17,AKF,LSS,home/away,AKF,LSS,2,34,4,23,100.0,2016-2017 Season,4,2,34,23,AKF,1,0,0,1,17,6,0.35294117647058826,37,438,51,475,-14,-37,2.176470588235294,25.764705882352942,27.941176470588236,5.176470588235294,0.34090909090909094,0.012032085561497319,0.34483627204030226
3372,2017-02-18,AKF,LSS,home/away,Tie,Tie,3,27,3,42,100.0,2016-2017 Season,3,3,27,42,AKF,0,0,1,1,18,6,0.3333333333333333,40,465,54,517,-14,-52,2.2222222222222223,25.833333333333332,28.72222222222222,5.222222222222222,0.35106382978723405,-0.017730496453900735,0.354295837023915
3564,2017-09-29,AKF,SFR,home/away,AKF,SFR,0,53,6,20,100.0,2017-2018 Season,6,0,53,20,AKF,1,0,0,1,1,1,1.0,6,53,0,20,6,33,6.0,53.0,20.0,6.0,1.5,-0.5,1.0
3623,2017-10-06,AKF,AFA,home/away,AFA,AKF,3,34,2,26,100.0,2017-2018 Season,2,3,34,26,AKF,0,1,0,1,2,1,0.5,8,87,3,46,5,41,4.0,43.5,23.0,5.5,0.9545454545454546,-0.4545454545454546,0.8767123287671232
3645,2017-10-07,AKF,AFA,home/away,Tie,Tie,1,26,1,25,100.0,2017-2018 Season,1,1,26,25,AKF,0,0,1,1,3,1,0.3333333333333333,9,113,4,71,5,42,3.0,37.666666666666664,23.666666666666668,4.333333333333333,0.8846153846153846,-0.5512820512820513,0.8350515463917526
3753,2017-10-21,AKF,AKA,home/away,AKF,AKA,2,37,3,17,100.0,2017-2018 Season,3,2,37,17,AKF,1,0,0,1,4,2,0.5,12,150,6,88,6,62,3.0,37.5,22.0,4.5,0.8333333333333333,-0.33333333333333326,0.8
3834,2017-11-03,AKF,BMJ,home/away,AKF,BMJ,3,27,4,31,100.0,2017-2018 Season,4,3,27,31,AKF,1,0,0,1,5,3,0.6,16,177,9,119,7,58,3.2,35.4,23.8,5.0,0.78,-0.18000000000000005,0.7596439169139466
3862,2017-11-04,AKF,BMJ,home/away,BMJ,AKF,3,24,2,28,100.0,2017-2018 Season,2,3,24,28,AKF,0,1,0,1,6,3,0.5,18,201,12,147,6,54,3.0,33.5,24.5,5.0,0.7,-0.19999999999999996,0.6923076923076923
3947,2017-11-17,AKF,NMU,home/away,NMU,AKF,5,35,3,31,100.0,2017-2018 Season,3,5,35,31,AKF,0,1,0,1,7,3,0.42857142857142855,21,236,17,178,4,58,3.0,33.714285714285715,25.428571428571427,5.428571428571429,0.6052631578947368,-0.1766917293233083,0.6041095890410959
3972,2017-11-18,AKF,NMU,home/away,AKF,NMU,1,27,2,21,100.0,2017-2018 Season,2,1,27,21,AKF,1,0,0,1,8,4,0.5,23,263,18,199,5,64,2.875,32.875,24.875,5.125,0.6219512195121951,-0.12195121951219512,0.6201641266119577
3995,2017-11-24,AKF,MTU,home/away,MTU,AKF,5,43,4,31,100.0,2017-2018 Season,4,5,43,31,AKF,0,1,0,1,9,4,0.4444444444444444,27,306,23,230,4,76,3.0,34.0,25.555555555555557,5.555555555555555,0.58,-0.13555555555555554,0.5794912559618441
4019,2017-11-25,AKF,MTU,home/away,MTU,AKF,5,35,1,34,100.0,2017-2018 Season,1,5,35,34,AKF,0,1,0,1,10,4,0.4,28,341,28,264,0,77,2.8,34.1,26.4,5.6,0.5,-0.09999999999999998,0.5
4206,2018-01-05,AKF,ALH,home/away,AKF,ALH,2,24,3,26,100.0,2017-2018 Season,3,2,24,26,AKF,1,0,0,1,11,5,0.45454545454545453,31,365,30,290,1,75,2.8181818181818183,33.18181818181818,26.363636363636363,5.545454545454546,0.5163934426229508,-0.06184798807749631,0.5163890381515315
4231,2018-01-06,AKF,ALH,home/away,ALH,AKF,2,36,1,29,100.0,2017-2018 Season,1,2,36,29,AKF,0,1,0,1,12,5,0.4166666666666667,32,401,32,319,0,82,2.6666666666666665,33.416666666666664,26.583333333333332,5.333333333333333,0.5,-0.08333333333333331,0.5
4267,2018-01-12,AKF,MNS,home/away,AKF,MNS,0,26,5,26,100.0,2017-2018 Season,5,0,26,26,AKF,1,0,0,1,13,6,0.46153846153846156,37,427,32,345,5,82,2.8461538461538463,32.84615384615385,26.53846153846154,5.3076923076923075,0.572463768115942,-0.11092530657748045,0.5720852486418722
4293,2018-01-13,AKF,MNS,home/away,MNS,AKF,5,17,1,36,100.0,2017-2018 Season,1,5,17,36,AKF,0,1,0,1,14,6,0.42857142857142855,38,444,37,381,1,63,2.7142857142857144,31.714285714285715,27.214285714285715,5.357142857142857,0.5133333333333333,-0.08476190476190476,0.5133309633842872
4432,2018-02-02,AKF,FSU,home/away,AKF,FSU,2,28,4,25,100.0,2017-2018 Season,4,2,28,25,AKF,1,0,0,1,15,7,0.4666666666666667,42,472,39,406,3,66,2.8,31.466666666666665,27.066666666666666,5.4,0.537037037037037,-0.0703703703703703,0.536986301369863
4457,2018-02-03,AKF,FSU,home/away,AKF,FSU,1,32,3,19,100.0,2017-2018 Season,3,1,32,19,AKF,1,0,0,1,16,8,0.5,45,504,40,425,5,79,2.8125,31.5,26.5625,5.3125,0.5588235294117647,-0.05882352941176472,0.5586206896551724
4594,2018-02-23,AKF,AKA,home/away,AKA,AKF,5,38,3,27,100.0,2017-2018 Season,3,5,38,27,AKF,0,1,0,1,17,8,0.47058823529411764,48,542,45,452,3,90,2.823529411764706,31.88235294117647,26.58823529411765,5.470588235294118,0.532258064516129,-0.06166982922201136,0.5322245322245323
4623,2018-02-24,AKF,AKA,home/away,AKA,AKF,3,43,2,26,100.0,2017-2018 Season,2,3,43,26,AKF,0,1,0,1,18,8,0.4444444444444444,50,585,48,478,2,107,2.7777777777777777,32.5,26.555555555555557,5.444444444444445,0.5204081632653061,-0.07596371882086173,0.5203996669442131
4749,2018-09-29,AKF,SFR,home/away,AKF,SFR,1,38,13,25,100.0,2018-2019 Season,13,1,38,25,AKF,1,0,0,1,1,1,1.0,13,38,1,25,12,13,13.0,38.0,25.0,14.0,1.3571428571428572,-0.3571428571428572,0.9941176470588236
4821,2018-10-12,AKF,STC,home/away,STC,AKF,3,18,2,29,100.0,2018-2019 Season,2,3,18,29,AKF,0,1,0,1,2,1,0.5,15,56,4,54,11,2,7.5,28.0,27.0,9.5,1.0789473684210527,-0.5789473684210527,0.9336099585062241
4846,2018-10-13,AKF,STC,home/away,STC,AKF,6,22,2,36,100.0,2018-2019 Season,2,6,22,36,AKF,0,1,0,1,3,1,0.3333333333333333,17,78,10,90,7,-12,5.666666666666667,26.0,30.0,9.0,0.7592592592592593,-0.425925925925926,0.7429305912596401
5083,2018-11-16,AKF,ALH,home/away,ALH,AKF,3,45,1,20,100.0,2018-2019 Season,1,3,45,20,AKF,0,1,0,1,4,1,0.25,18,123,13,110,5,13,4.5,30.75,27.5,7.75,0.6612903225806451,-0.41129032258064513,0.6572008113590264
5106,2018-11-17,AKF,ALH,home/away,AKF,ALH,1,45,2,31,100.0,2018-2019 Season,2,1,45,31,AKF,1,0,0,1,5,2,0.4,20,168,14,141,6,27,4.0,33.6,28.2,6.8,0.6764705882352942,-0.27647058823529413,0.6711409395973155
5177,2018-11-30,AKF,FSU,home/away,AKF,FSU,3,26,4,26,100.0,2018-2019 Season,4,3,26,26,AKF,1,0,0,1,6,3,0.5,24,194,17,167,7,27,4.0,32.333333333333336,27.833333333333332,6.833333333333333,0.6707317073170732,-0.1707317073170732,0.6658959537572254
5202,2018-12-01,AKF,FSU,home/away,AKF,FSU,2,22,6,35,100.0,2018-2019 Season,6,2,22,35,AKF,1,0,0,1,7,4,0.5714285714285714,30,216,19,202,11,14,4.285714285714286,30.857142857142858,28.857142857142858,7.0,0.7244897959183674,-0.15306122448979598,0.7137192704203014
5230,2018-12-07,AKF,LSS,home/away,LSS,AKF,3,23,1,31,100.0,2018-2019 Season,1,3,23,31,AKF,0,1,0,1,8,4,0.5,31,239,22,233,9,6,3.875,29.875,29.125,6.625,0.6698113207547169,-0.16981132075471694,0.6650519031141868
5255,2018-12-08,AKF,LSS,home/away,LSS,AKF,4,30,2,19,100.0,2018-2019 Season,2,4,30,19,AKF,0,1,0,1,9,4,0.4444444444444444,33,269,26,252,7,17,3.6666666666666665,29.88888888888889,28.0,6.555555555555555,0.6186440677966102,-0.17419962335216577,0.6169971671388101
5339,2019-01-04,AKF,NMU,home/away,NMU,AKF,3,20,0,35,100.0,2018-2019 Season,0,3,20,35,AKF,0,1,0,1,10,4,0.4,33,289,29,287,4,2,3.3,28.9,28.7,6.2,0.564516129032258,-0.16451612903225799,0.5642487046632124
5364,2019-01-05,AKF,NMU,home/away,NMU,AKF,3,34,2,27,100.0,2018-2019 Season,2,3,34,27,AKF,0,1,0,1,11,4,0.36363636363636365,35,323,32,314,3,9,3.1818181818181817,29.363636363636363,28.545454545454547,6.090909090909091,0.5447761194029851,-0.18113975576662145,0.5446865273454868
5451,2019-01-18,AKF,BGS,home/away,AKF,BGS,1,23,2,36,100.0,2018-2019 Season,2,1,23,36,AKF,1,0,0,1,12,5,0.4166666666666667,37,346,33,350,4,-4,3.0833333333333335,28.833333333333332,29.166666666666668,5.833333333333333,0.5571428571428572,-0.14047619047619048,0.5569568755085436
5475,2019-01-19,AKF,BGS,home/away,BGS,AKF,1,31,0,34,100.0,2018-2019 Season,0,1,31,34,AKF,0,1,0,1,13,5,0.38461538461538464,37,377,34,384,3,-7,2.8461538461538463,29.0,29.53846153846154,5.461538461538462,0.5422535211267605,-0.15763813651137587,0.5421782178217822
5614,2019-02-08,AKF,AKA,home/away,AKA,AKF,3,27,1,24,100.0,2018-2019 Season,1,3,27,24,AKF,0,1,0,1,14,5,0.35714285714285715,38,404,37,408,1,-4,2.7142857142857144,28.857142857142858,29.142857142857142,5.357142857142857,0.5133333333333333,-0.15619047619047616,0.5133309633842872
5636,2019-02-09,AKF,AKA,home/away,AKF,AKA,1,27,2,17,100.0,2018-2019 Season,2,1,27,17,AKF,1,0,0,1,15,6,0.4,40,431,38,425,2,6,2.6666666666666665,28.733333333333334,28.333333333333332,5.2,0.5256410256410257,-0.12564102564102564,0.5256241787122208
5719,2019-02-22,AKF,MNS,home/away,MNS,AKF,6,24,1,30,100.0,2018-2019 Season,1,6,24,30,AKF,0,1,0,1,16,6,0.375,41,455,44,455,-3,0,2.5625,28.4375,28.4375,5.3125,0.4647058823529412,-0.08970588235294119,0.4647497926458391
5747,2019-02-23,AKF,MNS,home/away,AKF,MNS,0,22,1,32,100.0,2018-2019 Season,1,0,22,32,AKF,1,0,0,1,17,7,0.4117647058823529,42,477,44,487,-2,-10,2.4705882352941178,28.058823529411764,28.647058823529413,5.0588235294117645,0.47674418604651164,-0.06497948016415872,0.47675675675675677
5946,2019-10-05,AKF,DEN,home/away,DEN,AKF,4,33,3,36,100.0,2019-2020 Season,3,4,33,36,AKF,0,1,0,1,1,0,0.0,3,33,4,36,-1,-3,3.0,33.0,36.0,7.0,0.35714285714285715,-0.35714285714285715,0.36
5965,2019-10-06,AKF,DEN,home/away,DEN,AKF,2,28,0,31,100.0,2019-2020 Season,0,2,28,31,AKF,0,1,0,1,2,0,0.0,3,61,6,67,-3,-6,1.5,30.5,33.5,4.5,0.16666666666666669,-0.16666666666666669,0.2
6137,2019-11-01,AKF,BMJ,home/away,BMJ,AKF,3,39,0,20,100.0,2019-2020 Season,0,3,39,20,AKF,0,1,0,1,3,0,0.0,3,100,9,87,-6,13,1.0,33.333333333333336,29.0,4.0,0.0,0.0,0.1
6162,2019-11-02,AKF,BMJ,home/away,AKF,BMJ,1,23,2,38,100.0,2019-2020 Season,2,1,23,38,AKF,1,0,0,1,4,1,0.25,5,123,10,125,-5,-2,1.25,30.75,31.25,3.75,0.16666666666666669,0.08333333333333331,0.2
