,#,Name,Class/Position,Class/Position.1,Height,Weight,YOB,Hometown / Last Team,Yr / Pos,Yr / Pos.1,S/C,Yr / Pos,Yr / Pos.1,Hometown,City,State
3,#5,Todd Alexander,,,11-May,190,84,"New Hope, Minnesota / Fargo (NAHL)",,,L,FR,D,"New Hope, Minnesota ",New Hope, Minnesota 
7,#9,Jonathan Toews,,,1-Jun,180,88,"Winnipeg, Manitoba / Shattuck-St. Mary's",,,L,FR,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
9,#11,Rastislav Spirko,,,9-May,175,84,"Vrutky, Slovakia / Tri-City (USHL)",,,L,SO,F,"Vrutky, Slovakia ",Vrutky, Slovakia 
10,#13,Lee Marvin,,,Jun-00,197,81,"Warroad, Minnesota / Lincoln (USHL)",,,L,SR,D/F,"Warroad, Minnesota ",Warroad, Minnesota 
12,#15,Travis Zajac (NJD),,,2-Jun,205,85,"Winnipeg, Manitoba / Salmon Arm (BCHL)",,,R,SO,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
15,#18,Drew Stafford (BUF),,,2-Jun,200,85,"Faribault, Minnesota / Shattuck-St. Mary's",,,R,JR,F,"Faribault, Minnesota ",Faribault, Minnesota 
16,#19,Mike Prpich,,,Jun-00,180,82,"Kenaston, Saskatchewan / Penticton (BCHL)",,,L,SR,F,"Kenaston, Saskatchewan ",Kenaston, Saskatchewan 
23,#27,Matt Smaby (TBL),,,5-Jun,220,84,"Minneapolis, Minnesota / Shattuck-St. Mary's",,,L,JR,D,"Minneapolis, Minnesota ",Minneapolis, Minnesota 
7,#9,Jonathan Toews (CHI),,,2-Jun,202,88,"Winnipeg, Manitoba / Shattuck-St. Mary's",,,L,SO,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
15,#21,Erik Fabian,,,2-Jun,202,83,"Roseau, Minnesota / Topeka (USHL)",,,R,SR,F,"Roseau, Minnesota ",Roseau, Minnesota 
16,#22,Brian Lee (OTT),,,3-Jun,205,87,"Moorhead, Minnesota / Moorhead HS",,,R,SO,D,"Moorhead, Minnesota ",Moorhead, Minnesota 
17,#24,Chris Porter (CHI),,,1-Jun,197,84,"Thunder Bay, Ontario / Lincoln (USHL)",,,L,SR,F,"Thunder Bay, Ontario ",Thunder Bay, Ontario 
18,#25,Scott Foyt,,,11-May,184,82,"Andover, Minnesota / Tri-City (USHL)",,,R,SR,D/F,"Andover, Minnesota ",Andover, Minnesota 
23,#31,Anthony Grieco,,,1-Jun,187,88,"Brampton, Ontario / Wellington (OPJHL)",,,L,FR,G,"Brampton, Ontario ",Brampton, Ontario 
0,#1,Jean-Philippe Lamoureux,,,8-May,152,84,"Grand Forks, North Dakota / Lincoln (USHL)",,,L,SR,G,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
3,#4,Taylor Chorney (EDM),,,Jun-00,196,87,"Hastings, Minnesota / Shattuck-St. Mary's",,,L,JR,D,"Hastings, Minnesota ",Hastings, Minnesota 
6,#7,T.J. Oshie (STL),,,Jun-00,192,86,"Warroad, Minnesota / Warroad HS",,,R,JR,F,"Warroad, Minnesota ",Warroad, Minnesota 
13,#17,Rylan Kaip (ATL),,,1-Jun,188,84,"Radville, Saskatchewan / Notre Dame (SJHL)",,,R,SR,F,"Radville, Saskatchewan ",Radville, Saskatchewan 
14,#18,Michael Forney (ATL),,,2-Jun,188,88,"Thief River Falls, Minnesota / Lincoln HS",,,R,SO,F,"Thief River Falls, Minnesota ",Thief River Falls, Minnesota 
20,#26,Kyle Radke,,,Jun-00,212,85,"Bashaw, Alberta / Grande Prairie (AJHL)",,,L,SR,F/D,"Bashaw, Alberta ",Bashaw, Alberta 
21,#28,Robbie Bina,,,8-May,165,83,"Grand Forks, North Dakota / Lincoln (USHL)",,,R,SR,D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
24,#31,Landon Snider,,,Jun-00,170,88,"Brainerd, Minnesota / Brainerd HS",,,L,FR,G,"Brainerd, Minnesota ",Brainerd, Minnesota 
0,#2,Joe Finley (WSH),,,7-Jun,245,87,"Edina, Minnesota / Sioux Falls (USHL)",,,L,SR,D,"Edina, Minnesota ",Edina, Minnesota 
4,#6,Zach Jones,,,11-May,192,87,"Lisle, Illinois / U.S. National Under-18",,,L,SR,D,"Lisle, Illinois ",Lisle, Illinois 
5,#8,Ryan Martens,,,Jun-00,200,85,"Selkirk, Manitoba / Quesnel (BCHL)",,,R,SR,F,"Selkirk, Manitoba ",Selkirk, Manitoba 
7,#10,Andrew Kozek (ATL),,,11-May,195,86,"Sicamous, British Columbia / Surrey (BCHL)",,,L,SR,F,"Sicamous, British Columbia ",Sicamous, British Columbia 
9,#14,Brad Miller,,,10-May,170,86,"Alpharetta, Georgia / Green Bay (USHL)",,,R,SR,D,"Alpharetta, Georgia ",Alpharetta, Georgia 
11,#16,Ryan Duncan,,,6-May,159,85,"Calgary, Alberta / Salmon Arm (BCHL)",,,L,SR,F,"Calgary, Alberta ",Calgary, Alberta 
15,#20,Matt Watkins (DAL),,,10-May,182,86,"Aylesbury, Saskatchewan / Vernon (BCHL)",,,L,SR,F,"Aylesbury, Saskatchewan ",Aylesbury, Saskatchewan 
22,#30,Aaron Walski,,,11-May,179,84,"Fargo, North Dakota / Bismarck (NAHL)",,,L,SR,G,"Fargo, North Dakota ",Fargo, North Dakota 
24,#35,Graeme Harrington,,,11-May,186,87,"Glenside, Saskatchewan / Drydan (SIJHL)",,,L,FR,G,"Glenside, Saskatchewan ",Glenside, Saskatchewan 
2,#4,Corey Fienhage (BUF),,,3-Jun,215,90,"Apple Valley, Minnesota / Indiana (USHL)",,,R,SO,D,"Apple Valley, Minnesota ",Apple Valley, Minnesota 
8,#11,Darcy Zajac,,,1-Jun,196,86,"Winnipeg, Manitoba / Salmon Arm (BCHL)",,,R,SR,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
12,#18,David Toews (NYI),,,10-May,191,90,"Winnipeg, Manitoba / Shattuck-St. Mary's",,,R,SO,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
22,#29,Chris VandeVelde (EDM),,,2-Jun,207,87,"Moorhead, Minnesota / Lincoln (USHL)",,,L,SR,F,"Moorhead, Minnesota ",Moorhead, Minnesota 
1,#3,Derrick LaPoint (FLA),,,3-Jun,205,88,"Eau Claire, Wisconsin / Green Bay (USHL)",,,L,SR,D,"Eau Claire, Wisconsin ",Eau Claire, Wisconsin 
2,#4,Derek Forbort (LAK),,,5-Jun,200,92,"Duluth, Minnesota / U.S. Under-18",,,L,FR,D,"Duluth, Minnesota ",Duluth, Minnesota 
3,#5,Chay Genoway,,,9-May,177,86,"Morden, Manitoba / Vernon (BCHL)",,,L,SR,D,"Morden, Manitoba ",Morden, Manitoba 
4,#7,Danny Kristo (MON),,,11-May,188,90,"Eden Prairie, Minnesota / Omaha (USHL)",,,R,SO,F,"Eden Prairie, Minnesota ",Eden Prairie, Minnesota 
5,#8,Mike Cichy (MON),,,11-May,190,90,"New Hartford, Connecticut / Indiana (USHL)",,,L,SO,F,"New Hartford, Connecticut ",New Hartford, Connecticut 
9,#13,Brett Bruneteau (WSH),,,11-May,195,89,"Omaha, Nebraska / Des Moines (USHL)",,,L,SO,F,"Omaha, Nebraska ",Omaha, Nebraska 
11,#15,Brent Davidson,,,4-Jun,218,86,"Morden, Manitoba / Neepawa (MJHL)",,,L,SR,F,"Morden, Manitoba ",Morden, Manitoba 
12,#17,Jason Gregoire (NYI),,,11-May,196,89,"Winnipeg, Manitoba / Lincoln (USHL)",,,L,JR,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
13,#18,Dillon Simpson,,,2-Jun,205,93,"Edmonton, Alberta / Spruce Grove (AJHL",,,L,FR,D,"Edmonton, Alberta ",Edmonton, Alberta 
14,#19,Evan Trupp,,,9-May,174,87,"Anchorage, Alaska / Penticton (BCHL)",,,L,SR,F,"Anchorage, Alaska ",Anchorage, Alaska 
16,#21,Matt Frattin (TOR),,,Jun-00,206,88,"Edmonton, Alberta / Fort Saskatchewan (AJHL)",,,R,SR,F,"Edmonton, Alberta ",Edmonton, Alberta 
17,#22,Brad Malone (COA),,,2-Jun,212,89,"Miramichi, New Brunswick / Sioux Falls (USHL)",,,L,SR,F,"Miramichi, New Brunswick ",Miramichi, New Brunswick 
19,#25,Jake Marto,,,Jun-00,173,86,"Grand Forks, North Dakota / Omaha (USHL)",,,L,SR,D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
20,#26,Brett Hextall (PHO),,,11-May,195,88,"Manhattan Beach, California / Penticton (BCHL)",,,R,JR,F,"Manhattan Beach, California ",Manhattan Beach, California 
22,#28,Ryan Hill,,,3-Jun,202,88,"Hermantown, Minnesota / Sioux Falls (USHL)",,,L,SO,F/D,"Hermantown, Minnesota ",Hermantown, Minnesota 
5,#9,Mario Lamoureux,,,9-May,185,88,"Grand Forks, North Dakota / Tri-City (USHL)",,,L,SR,F,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
9,#14,Taylor Dickin,,,2-Jun,201,89,"Winnipeg, Manitoba / Selkirk (MJHL)",,,L,SO,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
18,#24,Ben Blood (OTT),,,4-Jun,226,89,"Plymouth, Minnesota / Indiana (USHL)",,,L,SR,D,"Plymouth, Minnesota ",Plymouth, Minnesota 
22,#29,Brock Nelson (NYI),,,4-Jun,192,91,"Warroad, Minnesota / Warroad High School",,,L,SO,F,"Warroad, Minnesota ",Warroad, Minnesota 
23,#31,Brad Eidsness (BUF),,,Jun-00,184,89,"Chestermere, Alberta / Okotoks (AJHL)",,,L,SR,G,"Chestermere, Alberta ",Chestermere, Alberta 
24,#32,Aaron Dell,,,Jun-00,209,89,"Airdrie, Alberta / Calgary Canucks (AJHL)",,,L,JR,G,"Airdrie, Alberta ",Airdrie, Alberta 
0,#2,Andrew MacWilliam (TOR),,,2-Jun,230,90,"Calgary, Alberta / Camrose (AJHL)",,,L,SR,D,"Calgary, Alberta ",Calgary, Alberta 
1,#4,Derek Forbort (LOS),,,4-Jun,218,92,"Duluth, Minnesota / U.S. Under-18 (NTDP)",,,L,JR,D,"Duluth, Minnesota ",Duluth, Minnesota 
3,#7,Danny Kristo (MTL),,,11-May,185,90,"Eden Prairie, Minnesota / Omaha (USHL)",,,R,SR,F,"Eden Prairie, Minnesota ",Eden Prairie, Minnesota 
4,#8,Dan Senkbeil,,,4-Jun,218,91,"Fremont, California / Alaska (NAHL)",,,L,SO,D/F,"Fremont, California ",Fremont, California 
6,#10,Corban Knight (FLA),,,2-Jun,200,90,"High River, Alberta / Okotoks (AJHL)",,,R,SR,F,"High River, Alberta ",High River, Alberta 
14,#20,Joe Gleason (CHI),,,9-May,180,90,"Edina, Minnesota / Des Moines (USHL)",,,R,SR,D,"Edina, Minnesota ",Edina, Minnesota 
20,#27,Carter Rowney,,,2-Jun,208,90,"Sexsmith, Alberta / Grande Prairie (AJHL)",,,R,SR,F,"Sexsmith, Alberta ",Sexsmith, Alberta 
25,#35,Tate Maris,,,9-May,172,88,"Denver, Colorado / Bozeman (NPJHL)",,,L,SR,G,"Denver, Colorado ",Denver, Colorado 
6,#10,Adam Tambellini (NYR),,,3-Jun,167,94,"Edmonton, Alberta / Surrey (BCHL)",,,L,FR,F,"Edmonton, Alberta ",Edmonton, Alberta 
7,#11,Derek Rodwell (NJD),,,2-Jun,202,90,"Taber, Alberta / Okotoks (AJHL)",,,R,SR,F,"Taber, Alberta ",Taber, Alberta 
12,#18,Dillon Simpson (EDM),,,2-Jun,197,93,"Edmonton, Alberta / Spruce Grove (AJHL)",,,L,SR,D,"Edmonton, Alberta ",Edmonton, Alberta 
13,#19,Rocco Grimaldi (FLA),,,6-May,172,93,"Rossmoor, California / U.S. Under-18 (NTDP)",,,R,SO,F,"Rossmoor, California ",Rossmoor, California 
18,#25,Mitch MacMillan,,,11-May,185,89,"Penticton, British Columbia / Alberni Valley (BCHL) Previous College: St. Cloud State (2011-12)",,,L,SR,F,"Penticton, British Columbia ",Penticton, British Columbia 
25,#33,Clarke Saunders,,,2-Jun,220,89,"Brockville, Ontario / Brockville (CCHL) Previous College: Alabama Huntsville (2011-12)",,,L,SR,G,"Brockville, Ontario ",Brockville, Ontario 
3,#5,Nick Mattson (CHI),,,1-Jun,184,91,"Chanhassen, Minnesota / Indiana (USHL)",,,L,SR,D,"Chanhassen, Minnesota ",Chanhassen, Minnesota 
5,#7,Wade Murphy (NSH),,,Jun-00,190,93,"Victoria, British Columbia / Penticton (BCHL)",,,R,SO,F,"Victoria, British Columbia ",Victoria, British Columbia 
10,#13,Connor Gaarder,,,10-May,198,91,"Edina, Minnesota / Coulee Region (NAHL)",,,R,SR,F,"Edina, Minnesota ",Edina, Minnesota 
12,#15,Michael Parks (PHI),,,Jun-00,198,92,"St. Louis, Missouri / Cedar Rapids (USHL)",,,R,SR,F,"St. Louis, Missouri ",St. Louis, Missouri 
13,#16,Mark MacMillan (MTL),,,Jun-00,184,92,"Penticton, British Columbia / Penticton (BCHL)",,,L,SR,F,"Penticton, British Columbia ",Penticton, British Columbia 
16,#21,Brendan O'Donnell (TBL),,,Jun-00,193,92,"Winnipeg, Manitoba / Penticton (BCHL)",,,L,SR,F,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
17,#22,Andrew Panzarella,,,1-Jun,208,90,"Washington, District of Columbia / Waterloo (USHL)",,,R,SR,D,"Washington, District of Columbia ",Washington, District of Columbia 
18,#24,Jordan Schmaltz (STL),,,2-Jun,194,93,"Verona, Wisconsin / Green Bay (USHL)",,,R,JR,D,"Verona, Wisconsin ",Verona, Wisconsin 
21,#28,Stephane Pattyn,,,2-Jun,215,91,"Ste. Anne, Manitoba / Portage (MJHL)",,,L,SR,F,"Ste. Anne, Manitoba ",Ste. Anne, Manitoba 
24,#31,Zane McIntyre (BOS),,,2-Jun,206,92,"Thief River Falls, Minnesota / Fargo (USHL)",,,L,JR,G,"Thief River Falls, Minnesota ",Thief River Falls, Minnesota 
0,#2,Troy Stecher,,,11-May,191,94,"Richmond, British Columbia / Penticton (BCHL)",,,R,JR,D,"Richmond, British Columbia ",Richmond, British Columbia 
2,#4,Keaton Thompson (ANA),,,1-Jun,200,95,"Devils Lake, North Dakota / U.S. Under-18 (NTDP)",,,L,JR,D,"Devils Lake, North Dakota ",Devils Lake, North Dakota 
3,#6,Paul LaDue (LOS),,,1-Jun,197,92,"Grand Forks, North Dakota / Lincoln (USHL)",,,R,JR,D,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
4,#8,Nick Schmaltz (CHI),,,1-Jun,181,96,"Verona, Wisconsin / Green Bay (USHL)",,,R,SO,F,"Verona, Wisconsin ",Verona, Wisconsin 
5,#9,Drake Caggiula,,,10-May,185,94,"Whitby, Ontario / Stouffville (OJHL)",,,L,SR,F,"Whitby, Ontario ",Whitby, Ontario 
11,#17,Colten St. Clair,,,11-May,197,92,"Gilbert, Arizona / Fargo (USHL)",,,R,SR,F,"Gilbert, Arizona ",Gilbert, Arizona 
16,#22,Rhett Gardner,,,2-Jun,215,96,"Moose Jaw, Saskatchewan / Okotoks (AJHL)",,,L,FR,F,"Moose Jaw, Saskatchewan ",Moose Jaw, Saskatchewan 
19,#26,Coltyn Sanderson,,,1-Jun,200,91,"Moose Jaw, Saskatchewan / Weyburn (SJHL)",,,L,SR,F,"Moose Jaw, Saskatchewan ",Moose Jaw, Saskatchewan 
20,#27,Luke Johnson (CHI),,,Jun-00,194,94,"Grand Forks, North Dakota / Lincoln (USHL)",,,R,JR,F,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
22,#29,Bryn Chyzyk,,,Jun-00,180,92,"Virden, Manitoba / Fargo (USHL)",,,L,SR,F,"Virden, Manitoba ",Virden, Manitoba 
0,#3,Tucker Poolman (WPG),,,4-Jun,217,93,"East Grand Forks, Minnesota / Omaha (USHL)",,,R,JR,D,"East Grand Forks, Minnesota ",East Grand Forks, Minnesota 
8,#13,Mike Gornall,,,11-May,198,94,"Irwin, Pennsylvania / Topeka (NAHL)",,,R,SO,F,"Irwin, Pennsylvania ",Irwin, Pennsylvania 
10,#16,Brock Boeser (VAN),,,1-Jun,200,97,"Burnsville, Minnesota / Waterloo (USHL)",,,R,SO,F,"Burnsville, Minnesota ",Burnsville, Minnesota 
11,#17,Tyson Jost (COL),,,11-May,195,98,"St. Albert, Alberta / Penticton (BCHL)",,,L,FR,F,"St. Albert, Alberta ",St. Albert, Alberta 
12,#18,Chris Wilkie (FLA),,,Jun-00,185,96,"Omaha, Nebraska / Tri-City (USHL)",,,R,SO,F,"Omaha, Nebraska ",Omaha, Nebraska 
14,#20,Gage Ausmus (SJS),,,2-Jun,215,95,"East Grand Forks, Minnesota / U.S. Under-18 (NTDP)",,,L,SR,D,"East Grand Forks, Minnesota ",East Grand Forks, Minnesota 
